sentence_index,sentence_text,raw_label,label_id,label_name,score,relevance_0_1,relevance_-1_1,ma_relevance_0_1
83,"Today, 13 product lines are each at an annual run rate over $1 billion and we are improving operating margin with highly differentiated products built with our own technology.",LABEL_2,2,LABEL_2,0.932582,0.977752,0.955504,0.89555
84,The this deep product differentiation starts with our AI infrastructure.,LABEL_2,2,LABEL_2,0.613852,0.872571,0.745142,0.893265
85,We have a decade of experience building AI accelerators and today offer the widest array of chips.,LABEL_2,2,LABEL_2,0.96492,0.988423,0.976847,0.899098
86,"This leadership is winning customers like HCA Healthcare, LG, AI Research and Macquarie bank and it's why nine of the top 10 AI labs choose Google Cloud.",LABEL_2,2,LABEL_2,0.824686,0.942147,0.884293,0.921495
87,"We are also the only cloud provider offering our own leading generative AI models including Gemini, Imagen, Veo, Chirp and Lyria.",LABEL_2,2,LABEL_2,0.858218,0.953212,0.906424,0.923805
88,"Adoption is rapidly accelerating in Q3, revenue from products built on our generative AI models grew more than 200% year over year.",LABEL_2,2,LABEL_2,0.689177,0.897428,0.794857,0.92313
89,"Over the past 12 months, nearly 150 Google Cloud customers each processed approximately 1 trillion tokens with our models for a wide range of applications.",LABEL_2,2,LABEL_2,0.92972,0.976808,0.953615,0.924174
90,"For example, WPP is creating campaigns with up to 70% efficiency gains.",LABEL_2,2,LABEL_2,0.852996,0.951489,0.902977,0.92342
91,Swarovski has increased email open rates by 17% and accelerated campaign localization by 10 times.,LABEL_2,2,LABEL_2,0.642476,0.882017,0.764034,0.918462
92,"Earlier this month we launched Gemini Enterprise, the new front door for AI in the workplace and we are seeing strong adoption for agents built on this platform.",LABEL_2,2,LABEL_2,0.918522,0.973112,0.946225,0.92183
93,"Our packaged Enterprise agents in Gemini Enterprise are optimized for a variety of domains, are highly differentiated and offer significant out of box value to customers.",LABEL_2,2,LABEL_2,0.925632,0.975459,0.950917,0.926759
94,We have already crossed 2 million subscribers across 700 companies.,LABEL_2,2,LABEL_2,0.763837,0.922066,0.844132,0.928116
95,"Next YouTube in the living room YouTube has remained number one in streaming watch time in the US for more than two years, according to Nielsen.",LABEL_2,2,LABEL_2,0.766515,0.92295,0.8459,0.925841
96,Last month marked YouTube's first time as a live NFL broadcaster.,LABEL_2,2,LABEL_2,0.669812,0.891038,0.782076,0.928274
97,This exclusive global broadcast live from Brazil drew more than 19 million fans and set a new record for most concurrent viewers of a live stream on YouTube.,LABEL_2,2,LABEL_2,0.584887,0.863013,0.726025,0.928512
98,YouTube Shorts also continues to perform well in the US.,LABEL_2,2,LABEL_2,0.501704,0.835562,0.671124,0.926352
99,Shorts now earn more revenue per watch hour than traditional in stream on YouTube.,LABEL_2,2,LABEL_2,0.601773,0.868585,0.73717,0.920736
100,"At our Made on YouTube event, we rolled out a number of AI powered features that are helping creators supercharge creation and build their businesses.",LABEL_2,2,LABEL_2,0.950481,0.983659,0.967317,0.928582
101,AI is now streamlining the entire content creation workflow from generative video tools and more efficient editing to AI powered insights that help creators optimize their channels.,LABEL_2,2,LABEL_2,0.745158,0.915902,0.831805,0.926606
102,"We are also using AI to expand monetization, automatically identifying products to make their videos more shoppable.",LABEL_2,2,LABEL_2,0.829483,0.943729,0.887459,0.926846
103,Philip will discuss in more detail.,LABEL_1,1,LABEL_1,0.482103,0.499094,-0.011812,0.902913
104,And finally Waymo Next year Waymo aims to open service in London and they are working to bring service to Tokyo.,LABEL_2,2,LABEL_2,0.518314,0.841044,0.682088,0.901337
105,"They've also announced expansions to Dallas, Nashville, Denver and Seattle and secured permission to operate fully autonomously at San Jose and San Francisco airports.",LABEL_2,2,LABEL_2,0.845611,0.949052,0.898103,0.899368
106,Autonomous testing continues to scale in New York City.,LABEL_2,2,LABEL_2,0.551521,0.852002,0.704004,0.894861
107,The new Waymo for Business allows enterprises to offer Waymo as a work travel option and we launched Waymo Teens Accounts in Phoenix this summer.,LABEL_2,2,LABEL_2,0.926482,0.975739,0.951478,0.895987
108,We are pleased to see usage steadily increase with positive feedback from teens and their parents alike.,LABEL_2,2,LABEL_2,0.789658,0.930587,0.861174,0.897645
109,"Waymo's growth and momentum are strong and 2026 is shaping up to be an exciting year overall, a milestone quarter.",LABEL_2,2,LABEL_2,0.834736,0.945463,0.890926,0.896078
110,The incredible work of our teams is driving momentum across the board and our leadership in AI positions us so well for the opportunity ahead I want to thank all of our partners and our employees for their hard work and an excellent Q3.,LABEL_2,2,LABEL_2,0.651406,0.884964,0.769928,0.892752
111,"With that, I'll turn it over to Philip.",LABEL_2,2,LABEL_2,0.699356,0.900787,0.801575,0.89369
112,Thanks Ondar and hello everyone.,LABEL_2,2,LABEL_2,0.59587,0.866637,0.733275,0.888367
113,"I'll quickly cover performance for Google services for the quarter, then structure the rest of my remarks around the great progress we're delivering across search ads, YouTube and partnerships.",LABEL_1,1,LABEL_1,0.595337,0.536461,0.062922,0.866417
114,"Google services revenues were $87 billion for the quarter, up 14% year on year, driven by accelerated growth in search and YouTube, partially offset by year on year decline in network revenues.",LABEL_2,2,LABEL_2,0.710042,0.904314,0.808628,0.865529
115,"Adding some further color to our results, the 15% increase in search and other was led by growth across all major verticals, with the largest contributions from retail and financial services.",LABEL_2,2,LABEL_2,0.613288,0.872385,0.74477,0.863001
116,YouTube saw similar performance across verticals.,LABEL_2,2,LABEL_2,0.512848,0.83924,0.678479,0.860411
117,"Its 15% growth in advertising revenues was driven by direct response features, followed by brand starting with search and other revenues, which delivered over 56 billion in revenue for the quarter.",LABEL_2,2,LABEL_2,0.732359,0.911679,0.823357,0.862844
118,"As Sundar mentioned, AI is driving an expansionary moment and transforming how people use Google Search.",LABEL_2,2,LABEL_2,0.451876,0.819119,0.638238,0.862022
119,"Our investments in new AI experiences such as AI Overviews and AI Mode continue to drive growth in overall queries, including commercial queries, creating more opportunities for monetization.",LABEL_2,2,LABEL_2,0.925519,0.975421,0.950843,0.867364
120,These AI experiences are enhancing how people connect with businesses and shop on search.,LABEL_2,2,LABEL_2,0.566363,0.8569,0.713799,0.861026
121,"We recently added Shopping capabilities and in AI Mode, which now help people shop conversationally in search.",LABEL_2,2,LABEL_2,0.648664,0.884059,0.768118,0.859434
122,And we expanded try on capabilities to more clothing items now available to anyone in the U.S.,LABEL_2,2,LABEL_2,0.879155,0.960121,0.920242,0.860253
123,"lastly, we're making it easier for consumers to benefit from deals through new loyalty offerings like personalized annotations on organic results and ads.",LABEL_2,2,LABEL_2,0.966404,0.988913,0.977826,0.884744
124,"Looking at monetization, businesses can now tap into our most powerful AI search experiences.",LABEL_2,2,LABEL_2,0.863827,0.955063,0.910126,0.890445
125,"Using our most advanced AI models, we can understand and predict intent like never before, unlocking entirely new commercial pathways to provide valuable new consumer connections and helping us monetize even more efficiently.",LABEL_2,2,LABEL_2,0.757815,0.920079,0.840158,0.888997
126,"Rolled out globally in September, AI Max and Search is already used by hundreds of thousands of advertisers, currently making it the fastest growing AI powered search ads product.",LABEL_2,2,LABEL_2,0.859192,0.953533,0.907066,0.894073
127,"In Q3 alone, Aimax unlocked billions of net new queries by delivering the most relevant ad across surfaces and matching advertisers against additional queries they weren't reaching before.",LABEL_2,2,LABEL_2,0.678796,0.894003,0.788005,0.889986
128,Aimax helps advertisers discover new customers at the exact moment they need their product or service.,LABEL_2,2,LABEL_2,0.661893,0.888425,0.77685,0.887878
129,"Kayak, for example, looked to grow conversions while staying within their ROAS goals.",LABEL_2,2,LABEL_2,0.648097,0.883872,0.767744,0.884799
130,"After turning on Aimax and Search, they grew the conversion value by 12% in early tests.",LABEL_2,2,LABEL_2,0.761789,0.92139,0.842781,0.88662
131,We continue to infuse generative AI capabilities at every step of the marketing process.,LABEL_2,2,LABEL_2,0.849502,0.950336,0.900671,0.889097
132,"We rolled out Imagen 4 in asset studio and Product Studio, helping businesses produce more and better creatives.",LABEL_2,2,LABEL_2,0.955114,0.985188,0.970375,0.895025
133,"On the measurement front, we enriched the model supporting Meridian, our marketing mix model with additional variables and more granular reporting in PMAX is making bidding more effective Financial services company SOFI has been using pmax to meet its ambitious growth targets and help drive a 39% improvement in its conversion volume year over year.",LABEL_2,2,LABEL_2,0.952191,0.984223,0.968446,0.917413
134,"Moving to YouTube where we saw accelerated revenue growth, our recommendation systems are driving robust watch time growth in our key monetization areas like Shorts and Living Room.",LABEL_2,2,LABEL_2,0.731698,0.91146,0.82292,0.91777
135,"As we leverage Gemini models, we're seeing further discovery improvement on direct response.",LABEL_2,2,LABEL_2,0.592421,0.865499,0.730998,0.917426
136,We're excited about the growth in revenue we're seeing especially from small and medium advertisers adopting Demand Gen we also improved performance on Demand gen with over 100 launches helping to increase conversion value by more than 40% for advertisers using target based bidding on YouTube.,LABEL_2,2,LABEL_2,0.952287,0.984255,0.968509,0.924677
137,The retail vertical continues to lead our growth on YouTube with demand gen helping us further monetize shopping related categories.,LABEL_2,2,LABEL_2,0.87323,0.958166,0.916332,0.927001
138,"Looking at the Living room, our long term bet more advertisers are adopting interactive direct response ads leading to an annual revenue run rate exceeding 1 billion globally for this format for our viewers, we continue to give fans greater access across sports while tapping into the best of YouTube's product innovation and creator led content.",LABEL_2,2,LABEL_2,0.928188,0.976302,0.952604,0.93486
139,Sundar mentioned that we expanded our NFL partnership with our first ever exclusive global broadcast of an NFL game.,LABEL_2,2,LABEL_2,0.648738,0.884084,0.768167,0.930293
140,Brands love the opportunity and we sold all our ad inventory within a couple of weeks.,LABEL_2,2,LABEL_2,0.91517,0.972006,0.944012,0.936049
141,Looking at Creators A significant force behind the thriving YouTube creator economy is the collaboration between creators and brands.,LABEL_2,2,LABEL_2,0.718764,0.907192,0.814384,0.937205
142,"Tools like direct linking to deals, websites and shorts and swappable brand segments in long form will soon help creators show how they deliver great value for brands.",LABEL_2,2,LABEL_2,0.848552,0.950022,0.900044,0.9367
143,"Thanks to a collaboration with Dude Perfect Comcast, xfinity drove an 8% search lift, beating other Xfinity ads recall lift on shorts by 34%.",LABEL_2,2,LABEL_2,0.605413,0.869786,0.739573,0.930744
144,At the same time it decreased the cost per lifted user by 50% when compared to the next most efficient ad.,LABEL_2,2,LABEL_2,0.666615,0.889983,0.779966,0.92749
145,We continue to invest in AI powered features that are helping creators supercharge creation and build their businesses.,LABEL_2,2,LABEL_2,0.960092,0.98683,0.973661,0.930828
146,"With VO3 integration and speech to song, creators go from idea to iteration quicker and new channel insights help them better understand performance performance ending on YouTube with our subscriptions products.",LABEL_2,2,LABEL_2,0.738282,0.913633,0.827266,0.928833
147,We're also seeing momentum with strong growth in offerings such as YouTube Music and Premium and YouTube TV.,LABEL_2,2,LABEL_2,0.818648,0.940154,0.880308,0.93114
148,"We're also applying Gemini internally to help us serve customers with increased speed, intelligence and efficiency.",LABEL_2,2,LABEL_2,0.912782,0.971218,0.942436,0.93528
149,Our sales teams use Gemini enriched with ads knowledge to streamline customer interactions.,LABEL_2,2,LABEL_2,0.886521,0.962552,0.925104,0.939214
150,"This increased productivity by over 10% led to hundreds of millions in incremental revenue and frees up sellers to engage with more customers at a deeper, more strategic level.",LABEL_2,2,LABEL_2,0.660992,0.888127,0.776254,0.937551
151,"In our Customer Support division, Gemini Powered Solutions have managed over 40 million customer sessions so far this year and resolved hundreds of thousands of customer inquiries.",LABEL_2,2,LABEL_2,0.95991,0.98677,0.97354,0.939373
152,And we're just getting started.,LABEL_1,1,LABEL_1,0.546265,0.520267,0.030535,0.916127
153,"As always, I'll wrap with the progress we're seeing across partnerships where customers tap into the strength and breadth of Google's products to accelerate their transformation.",LABEL_1,1,LABEL_1,0.54938,0.521295,0.032591,0.89298
154,"Revolut, the global financial services company, leverages Google Cloud's Vertex AI platform and Gemini models to help power its advanced customer service chatbot, develop new hyper personalized financial products and offer predictive insights.",LABEL_2,2,LABEL_2,0.534112,0.846257,0.692514,0.88972
155,"Revolut is also increasing its presence on YouTube, adopting VO3 for personalized creatives, making Google a key ads partner for delivering growth and launching new markets.",LABEL_2,2,LABEL_2,0.681068,0.894752,0.789505,0.891183
156,"In closing, I'd like to thank Googlers everywhere for their contributions to our success and as always, to our customers and partners for their continued trust.",LABEL_2,2,LABEL_2,0.657551,0.886992,0.773983,0.886319
157,"And of course, a huge thanks to all of you as we celebrate 25 years of Google Ads.",LABEL_2,2,LABEL_2,0.8414,0.947662,0.895324,0.885794
158,Anat over to you.,LABEL_1,1,LABEL_1,0.488387,0.501168,-0.007665,0.862038
159,Thank you Philip.,LABEL_1,1,LABEL_1,0.413012,0.476294,-0.057412,0.841648
160,My comments will focus on year over year comparisons for the third quarter.,LABEL_1,1,LABEL_1,0.61851,0.544108,0.078216,0.820253
161,"Unless I state otherwise, I will start with results at the Alphabet level and we'll then cover our segment results.",LABEL_2,2,LABEL_2,0.780976,0.927722,0.855444,0.82128
162,I'll end with some commentary on our outlook for the fourth quarter of 2025.,LABEL_1,1,LABEL_1,0.60181,0.538597,0.067194,0.800708
163,"We had an outstanding quarter in Q3, continuing the strong momentum we've had throughout the year, delivering double digit revenue growth across search and YouTube advertising, subscriptions platforms and devices and Google Cloud.",LABEL_2,2,LABEL_2,0.943742,0.981435,0.96287,0.806291
164,"Consolidated revenue reached $102.3 billion, a 16% year over year increase or 15% in constant currency.",LABEL_2,2,LABEL_2,0.763514,0.92196,0.843919,0.80789
165,"Total cost of revenue was $41.4 billion, up 13%.",LABEL_2,2,LABEL_2,0.782254,0.928144,0.856287,0.804955
166,"Tech was $14.9 billion, up 8%.",LABEL_2,2,LABEL_2,0.915249,0.972032,0.944065,0.807875
167,"Other cost of revenues was $26.5 billion, up 16%, with the increase primarily driven by content acquisition cost, largely for YouTube, followed by depreciation and other technical infrastructure operations cost.",LABEL_2,2,LABEL_2,0.809884,0.937262,0.874524,0.807731
168,Total operating expenses increased 28% to $29.7 billion.,LABEL_2,2,LABEL_2,0.602276,0.868751,0.737502,0.802607
169,"R&D expenses increased by 22%, driven by compensation and depreciation expenses related to our AI efforts.",LABEL_2,2,LABEL_2,0.90661,0.969181,0.938363,0.802939
170,"Sales and marketing expenses were flat and G and A expenses increased meaningfully, primarily due to the $3.5 billion charge related to the European Commission fine mentioned in the earnings press release.",LABEL_2,2,LABEL_2,0.652104,0.885194,0.770389,0.802792
171,Operating income increased 9% this quarter to $31.2 billion and operating margin was 30.5%.,LABEL_2,2,LABEL_2,0.912733,0.971202,0.942403,0.802014
172,"Excluding the EC fine, operating income increased 22% and operating margin was 33.9%.",LABEL_2,2,LABEL_2,0.654949,0.886133,0.772267,0.820307
173,Operating margin benefited from strong revenue growth and continued efficiencies in our expense base offset by the legal charge and a significant increase in depreciation expense.,LABEL_2,2,LABEL_2,0.955005,0.985152,0.970303,0.8435
174,Other income and expenses was $12.8 billion primarily due to unrealized gains in our non marketable equity securities portfolio.,LABEL_2,2,LABEL_2,0.945026,0.981859,0.963717,0.85028
175,Net income increased 33% to $35 billion and earnings per share increased 35% to $2.87.,LABEL_2,2,LABEL_2,0.900826,0.967273,0.934545,0.853906
176,We generate free cash flow of $24.5 billion in the third quarter and $73.6 billion for the trailing 12 months.,LABEL_2,2,LABEL_2,0.958653,0.986355,0.972711,0.858874
177,Free cash flow in Q3 benefited from strong operating cash flow and recent tax changes regarding the timing of when research and development costs are expensed and assets are depreciated.,LABEL_2,2,LABEL_2,0.852691,0.951388,0.902776,0.85906
178,This was partially offset by higher CapEx.,LABEL_2,2,LABEL_2,0.438305,0.814641,0.629281,0.874734
179,We ended the quarter with $98.5 billion in cash and marketable securities.,LABEL_2,2,LABEL_2,0.95689,0.985774,0.971547,0.900208
180,"Turning to segment results, Google services revenues increased 14% to $87.1 billion reflecting strength in Google search, YouTube advertising and subscriptions.",LABEL_2,2,LABEL_2,0.705359,0.902768,0.805537,0.918141
181,Google Search and other advertising revenues increased by 15% to $56.6 billion representing another robust quarter with continued growth across all major verticals with the largest contributions from retail and and financial services.,LABEL_2,2,LABEL_2,0.702187,0.901722,0.803444,0.916841
182,YouTube advertising revenues increased 15% to $10.3 billion driven by direct response advertising followed by brand network advertising.,LABEL_2,2,LABEL_2,0.560515,0.85497,0.70994,0.93266
183,Revenues of $7.4 billion were down 3%.,LABEL_2,2,LABEL_2,0.610556,0.871484,0.742967,0.927162
184,Subscriptions Platforms and devices revenues increased 21% this quarter to $12.9 billion driven by very strong growth in both YouTube and and Google WAN subscriptions.,LABEL_2,2,LABEL_2,0.715313,0.906053,0.812107,0.926367
185,Google Services operating income increased 9% to $33.5 billion.,LABEL_2,2,LABEL_2,0.585459,0.863202,0.726403,0.92312
