sentence_index,sentence_text,raw_label,label_id,label_name,score,specificity_0_1,specificity_-1_1,ma_specificity_0_1
47,He received a Nobel in Physics for early research he did in the 1980s.,LABEL_1,1,LABEL_1,0.503013,0.505994,0.001989,0.563562
48,Three Nobels awarded to current Googlers in two years.,LABEL_0,0,LABEL_0,0.414998,0.136949,-0.726101,0.530728
49,Incredible.,LABEL_1,1,LABEL_1,0.578969,0.53106,0.052119,0.516751
50,"And third, our products and platforms.",LABEL_0,0,LABEL_0,0.57007,0.188123,-0.623754,0.486516
51,We are bringing AI to more people and developers than anyone else.,LABEL_1,1,LABEL_1,0.446056,0.487199,-0.035603,0.468242
52,In July we announced that we processed 980 trillion monthly tokens across all our surfaces.,LABEL_1,1,LABEL_1,0.370562,0.462285,-0.085429,0.482374
53,"We are now processing over 1.3 quadrillion monthly tokens, more than 20x growth in a year.",LABEL_1,1,LABEL_1,0.381121,0.46577,-0.07846,0.482688
54,Phenomenal.,LABEL_1,1,LABEL_1,0.615197,0.543015,0.07603,0.486786
55,This quarter we took big steps to reimagine Chrome as a browser powered by AI through deep integrations with Gemini and AI mode in search with more agentic capabilities coming soon.,LABEL_1,1,LABEL_1,0.423347,0.479704,-0.050591,0.485308
56,"In August at Made by Google, we unveiled our Pixel 10 series of devices.",LABEL_1,1,LABEL_1,0.436063,0.483901,-0.042198,0.484089
57,They are the first with our most powerful chip designed to run on Gemini Tensor G5.,LABEL_1,1,LABEL_1,0.482974,0.499381,-0.011237,0.483152
58,They are our best reviewed devices ever.,LABEL_1,1,LABEL_1,0.536396,0.517011,0.024021,0.468459
59,"And last week we launched Android xr, our new operating system at Samsung's Galaxy XR device.",LABEL_1,1,LABEL_1,0.455842,0.490428,-0.029144,0.466461
60,It brings new ways to use headsets and glasses.,LABEL_1,1,LABEL_1,0.522049,0.512276,0.014552,0.466606
61,"With Gemini at the core now turning to highlights from search, AI is driving an expansionary moment for search.",LABEL_1,1,LABEL_1,0.434378,0.483345,-0.043311,0.449737
62,"As people learn what they can do with our new AI experiences, they're increasingly coming back to search more.",LABEL_0,0,LABEL_0,0.471537,0.155607,-0.688786,0.431486
63,"Search and its AI experiences are built to highlight the web, sending billions of clicks to sites every day.",LABEL_0,0,LABEL_0,0.369136,0.121815,-0.756371,0.412957
64,"During the Q2 call, we shared that overall queries and commercial queries continued to grow year over year.",LABEL_0,0,LABEL_0,0.436754,0.144129,-0.711742,0.394638
65,"This growth rate increased in Q3, largely driven by our AI investments in search, most notably AI Overviews and AI mode let me dive into the momentum we are seeing.",LABEL_1,1,LABEL_1,0.402736,0.472903,-0.064194,0.391893
66,"As we have shared before, AI overviews drive meaningful query growth.",LABEL_2,2,LABEL_2,0.415321,0.807056,0.614112,0.424398
67,"This effect was even stronger in Q3 as users continue to learn that Google can answer and more of their questions, and it's particularly encouraging to see the effect was more pronounced with younger people.",LABEL_1,1,LABEL_1,0.47731,0.497512,-0.014975,0.423973
68,We're also seeing that AI mode is resonating well with users.,LABEL_1,1,LABEL_1,0.584006,0.532722,0.055444,0.443762
69,In the US we have seen strong and consistent week over week growth in usage since launch and queries doubled over the quarter.,LABEL_1,1,LABEL_1,0.481737,0.498973,-0.012053,0.442158
70,"Over the last quarter, we rolled out AI Mode globally across 40 languages in record time.",LABEL_1,1,LABEL_1,0.403937,0.473299,-0.063402,0.456417
71,"It now has over 75 million daily active users and we shipped over 100 improvements to the product in Q3, an incredibly fast pace.",LABEL_1,1,LABEL_1,0.473281,0.496183,-0.017635,0.456866
72,"Most importantly, AI mode is already driving incremental total query growth for search.",LABEL_1,1,LABEL_1,0.41108,0.475656,-0.058687,0.457534
73,"Philip will talk more about monetization and share how AI is helping people connect with businesses and shop on search next Google Cloud, our complete enterprise AI product portfolio is accelerating growth in revenue, operating margins and backlog.",LABEL_2,2,LABEL_2,0.39126,0.799116,0.598231,0.474202
74,"In Q3, customer demand strengthened in three ways.",LABEL_1,1,LABEL_1,0.443706,0.486423,-0.037154,0.471372
75,One we are signing new customers faster.,LABEL_0,0,LABEL_0,0.440336,0.145311,-0.709378,0.454652
76,The number of new GCP customers increased by nearly 34% year over year.,LABEL_2,2,LABEL_2,0.495212,0.83342,0.66684,0.472128
77,2.,LABEL_1,1,LABEL_1,0.544598,0.519717,0.029435,0.473145
78,We are signing larger deals.,LABEL_1,1,LABEL_1,0.553354,0.522607,0.035214,0.473425
79,We have signed more deals over $1 billion through Q3 this year than we did in the previous two years combined.,LABEL_1,1,LABEL_1,0.491289,0.502125,-0.005749,0.47401
80,"Third, we are deepening our relationships.",LABEL_0,0,LABEL_0,0.494151,0.16307,-0.673861,0.456549
81,"Over 70% of existing Google Cloud customers use our AI products, including Banco bb, Best Buy and Fair Price Group.",LABEL_2,2,LABEL_2,0.368804,0.791705,0.583411,0.471967
82,"As we scale, we are diversifying revenue.",LABEL_0,0,LABEL_0,0.417226,0.137685,-0.724631,0.471071
83,"Today, 13 product lines are each at an annual run rate over $1 billion and we are improving operating margin with highly differentiated products built with our own technology.",LABEL_1,1,LABEL_1,0.508276,0.507731,0.005462,0.490367
84,The this deep product differentiation starts with our AI infrastructure.,LABEL_1,1,LABEL_1,0.525334,0.51336,0.01672,0.508829
85,We have a decade of experience building AI accelerators and today offer the widest array of chips.,LABEL_1,1,LABEL_1,0.431603,0.482429,-0.045142,0.509305
86,"This leadership is winning customers like HCA Healthcare, LG, AI Research and Macquarie bank and it's why nine of the top 10 AI labs choose Google Cloud.",LABEL_2,2,LABEL_2,0.393457,0.799841,0.599682,0.508944
87,"We are also the only cloud provider offering our own leading generative AI models including Gemini, Imagen, Veo, Chirp and Lyria.",LABEL_1,1,LABEL_1,0.385479,0.467208,-0.075584,0.507429
88,"Adoption is rapidly accelerating in Q3, revenue from products built on our generative AI models grew more than 200% year over year.",LABEL_2,2,LABEL_2,0.490638,0.83191,0.663821,0.522389
89,"Over the past 12 months, nearly 150 Google Cloud customers each processed approximately 1 trillion tokens with our models for a wide range of applications.",LABEL_2,2,LABEL_2,0.424564,0.810106,0.620212,0.537945
90,"For example, WPP is creating campaigns with up to 70% efficiency gains.",LABEL_1,1,LABEL_1,0.364133,0.460164,-0.089672,0.537288
91,Swarovski has increased email open rates by 17% and accelerated campaign localization by 10 times.,LABEL_2,2,LABEL_2,0.449031,0.81818,0.63636,0.553388
92,"Earlier this month we launched Gemini Enterprise, the new front door for AI in the workplace and we are seeing strong adoption for agents built on this platform.",LABEL_1,1,LABEL_1,0.44834,0.487952,-0.034095,0.554003
93,"Our packaged Enterprise agents in Gemini Enterprise are optimized for a variety of domains, are highly differentiated and offer significant out of box value to customers.",LABEL_1,1,LABEL_1,0.482275,0.499151,-0.011699,0.539005
94,We have already crossed 2 million subscribers across 700 companies.,LABEL_0,0,LABEL_0,0.435068,0.143572,-0.712855,0.521862
95,"Next YouTube in the living room YouTube has remained number one in streaming watch time in the US for more than two years, according to Nielsen.",LABEL_1,1,LABEL_1,0.380238,0.465478,-0.079043,0.537871
96,Last month marked YouTube's first time as a live NFL broadcaster.,LABEL_1,1,LABEL_1,0.486682,0.500605,-0.00879,0.52123
97,This exclusive global broadcast live from Brazil drew more than 19 million fans and set a new record for most concurrent viewers of a live stream on YouTube.,LABEL_1,1,LABEL_1,0.434868,0.483506,-0.042987,0.519419
98,YouTube Shorts also continues to perform well in the US.,LABEL_1,1,LABEL_1,0.610934,0.541608,0.073217,0.520369
99,Shorts now earn more revenue per watch hour than traditional in stream on YouTube.,LABEL_1,1,LABEL_1,0.43847,0.484695,-0.04061,0.519498
100,"At our Made on YouTube event, we rolled out a number of AI powered features that are helping creators supercharge creation and build their businesses.",LABEL_0,0,LABEL_0,0.390864,0.128985,-0.74203,0.517794
101,AI is now streamlining the entire content creation workflow from generative video tools and more efficient editing to AI powered insights that help creators optimize their channels.,LABEL_0,0,LABEL_0,0.336164,0.110934,-0.778131,0.483755
102,"We are also using AI to expand monetization, automatically identifying products to make their videos more shoppable.",LABEL_0,0,LABEL_0,0.400391,0.132129,-0.735742,0.483477
103,Philip will discuss in more detail.,LABEL_0,0,LABEL_0,0.458901,0.151437,-0.697125,0.465663
104,And finally Waymo Next year Waymo aims to open service in London and they are working to bring service to Tokyo.,LABEL_1,1,LABEL_1,0.441009,0.485533,-0.038934,0.464271
105,"They've also announced expansions to Dallas, Nashville, Denver and Seattle and secured permission to operate fully autonomously at San Jose and San Francisco airports.",LABEL_1,1,LABEL_1,0.376576,0.46427,-0.08146,0.463363
106,Autonomous testing continues to scale in New York City.,LABEL_1,1,LABEL_1,0.604991,0.539647,0.069294,0.450354
107,The new Waymo for Business allows enterprises to offer Waymo as a work travel option and we launched Waymo Teens Accounts in Phoenix this summer.,LABEL_1,1,LABEL_1,0.393229,0.469766,-0.070469,0.450482
108,We are pleased to see usage steadily increase with positive feedback from teens and their parents alike.,LABEL_1,1,LABEL_1,0.602544,0.538839,0.067679,0.435828
109,"Waymo's growth and momentum are strong and 2026 is shaping up to be an exciting year overall, a milestone quarter.",LABEL_1,1,LABEL_1,0.536869,0.517167,0.024334,0.421181
110,The incredible work of our teams is driving momentum across the board and our leadership in AI positions us so well for the opportunity ahead I want to thank all of our partners and our employees for their hard work and an excellent Q3.,LABEL_1,1,LABEL_1,0.514443,0.509766,0.009533,0.423661
111,"With that, I'll turn it over to Philip.",LABEL_0,0,LABEL_0,0.589153,0.19442,-0.611159,0.392473
112,Thanks Ondar and hello everyone.,LABEL_0,0,LABEL_0,0.476085,0.157108,-0.685784,0.375931
113,"I'll quickly cover performance for Google services for the quarter, then structure the rest of my remarks around the great progress we're delivering across search ads, YouTube and partnerships.",LABEL_0,0,LABEL_0,0.589947,0.194683,-0.610635,0.360708
114,"Google services revenues were $87 billion for the quarter, up 14% year on year, driven by accelerated growth in search and YouTube, partially offset by year on year decline in network revenues.",LABEL_1,1,LABEL_1,0.425191,0.480313,-0.049374,0.377545
115,"Adding some further color to our results, the 15% increase in search and other was led by growth across all major verticals, with the largest contributions from retail and financial services.",LABEL_2,2,LABEL_2,0.451099,0.818863,0.637726,0.395214
116,YouTube saw similar performance across verticals.,LABEL_1,1,LABEL_1,0.598233,0.537417,0.064834,0.397054
117,"Its 15% growth in advertising revenues was driven by direct response features, followed by brand starting with search and other revenues, which delivered over 56 billion in revenue for the quarter.",LABEL_2,2,LABEL_2,0.414446,0.806767,0.613534,0.413217
118,"As Sundar mentioned, AI is driving an expansionary moment and transforming how people use Google Search.",LABEL_1,1,LABEL_1,0.370429,0.462241,-0.085517,0.409249
119,"Our investments in new AI experiences such as AI Overviews and AI Mode continue to drive growth in overall queries, including commercial queries, creating more opportunities for monetization.",LABEL_1,1,LABEL_1,0.386922,0.467684,-0.074632,0.408399
120,These AI experiences are enhancing how people connect with businesses and shop on search.,LABEL_0,0,LABEL_0,0.410006,0.135302,-0.729396,0.408714
121,"We recently added Shopping capabilities and in AI Mode, which now help people shop conversationally in search.",LABEL_0,0,LABEL_0,0.484271,0.159809,-0.680381,0.411158
122,And we expanded try on capabilities to more clothing items now available to anyone in the U.S.,LABEL_1,1,LABEL_1,0.435037,0.483562,-0.042875,0.42873
123,"lastly, we're making it easier for consumers to benefit from deals through new loyalty offerings like personalized annotations on organic results and ads.",LABEL_0,0,LABEL_0,0.493087,0.162719,-0.674563,0.429294
124,"Looking at monetization, businesses can now tap into our most powerful AI search experiences.",LABEL_0,0,LABEL_0,0.495847,0.163629,-0.672741,0.413199
125,"Using our most advanced AI models, we can understand and predict intent like never before, unlocking entirely new commercial pathways to provide valuable new consumer connections and helping us monetize even more efficiently.",LABEL_0,0,LABEL_0,0.481305,0.158831,-0.682339,0.397927
126,"Rolled out globally in September, AI Max and Search is already used by hundreds of thousands of advertisers, currently making it the fastest growing AI powered search ads product.",LABEL_2,2,LABEL_2,0.414954,0.806935,0.61387,0.411291
127,"In Q3 alone, Aimax unlocked billions of net new queries by delivering the most relevant ad across surfaces and matching advertisers against additional queries they weren't reaching before.",LABEL_0,0,LABEL_0,0.357956,0.118126,-0.763749,0.393709
128,Aimax helps advertisers discover new customers at the exact moment they need their product or service.,LABEL_1,1,LABEL_1,0.411189,0.475692,-0.058615,0.390552
129,"Kayak, for example, looked to grow conversions while staying within their ROAS goals.",LABEL_0,0,LABEL_0,0.506665,0.167199,-0.665601,0.373053
130,"After turning on Aimax and Search, they grew the conversion value by 12% in early tests.",LABEL_0,0,LABEL_0,0.354498,0.116984,-0.766031,0.353414
131,We continue to infuse generative AI capabilities at every step of the marketing process.,LABEL_1,1,LABEL_1,0.511681,0.508855,0.007709,0.369136
132,"We rolled out Imagen 4 in asset studio and Product Studio, helping businesses produce more and better creatives.",LABEL_1,1,LABEL_1,0.430857,0.482183,-0.045634,0.38539
133,"On the measurement front, we enriched the model supporting Meridian, our marketing mix model with additional variables and more granular reporting in PMAX is making bidding more effective Financial services company SOFI has been using pmax to meet its ambitious growth targets and help drive a 39% improvement in its conversion volume year over year.",LABEL_1,1,LABEL_1,0.405178,0.473709,-0.062583,0.399341
134,"Moving to YouTube where we saw accelerated revenue growth, our recommendation systems are driving robust watch time growth in our key monetization areas like Shorts and Living Room.",LABEL_0,0,LABEL_0,0.403691,0.133218,-0.733564,0.381986
135,"As we leverage Gemini models, we're seeing further discovery improvement on direct response.",LABEL_1,1,LABEL_1,0.552032,0.52217,0.034341,0.367152
136,We're excited about the growth in revenue we're seeing especially from small and medium advertisers adopting Demand Gen we also improved performance on Demand gen with over 100 launches helping to increase conversion value by more than 40% for advertisers using target based bidding on YouTube.,LABEL_2,2,LABEL_2,0.446315,0.817284,0.634568,0.381145
137,The retail vertical continues to lead our growth on YouTube with demand gen helping us further monetize shopping related categories.,LABEL_1,1,LABEL_1,0.486566,0.500567,-0.008866,0.365835
138,"Looking at the Living room, our long term bet more advertisers are adopting interactive direct response ads leading to an annual revenue run rate exceeding 1 billion globally for this format for our viewers, we continue to give fans greater access across sports while tapping into the best of YouTube's product innovation and creator led content.",LABEL_1,1,LABEL_1,0.470499,0.495265,-0.01947,0.367486
139,Sundar mentioned that we expanded our NFL partnership with our first ever exclusive global broadcast of an NFL game.,LABEL_1,1,LABEL_1,0.553089,0.522519,0.035039,0.370228
140,Brands love the opportunity and we sold all our ad inventory within a couple of weeks.,LABEL_1,1,LABEL_1,0.678408,0.563875,0.117749,0.391657
141,Looking at Creators A significant force behind the thriving YouTube creator economy is the collaboration between creators and brands.,LABEL_1,1,LABEL_1,0.455592,0.490345,-0.029309,0.408183
142,"Tools like direct linking to deals, websites and shorts and swappable brand segments in long form will soon help creators show how they deliver great value for brands.",LABEL_0,0,LABEL_0,0.487889,0.161003,-0.677993,0.392055
143,"Thanks to a collaboration with Dude Perfect Comcast, xfinity drove an 8% search lift, beating other Xfinity ads recall lift on shorts by 34%.",LABEL_2,2,LABEL_2,0.546718,0.850417,0.700834,0.42644
144,At the same time it decreased the cost per lifted user by 50% when compared to the next most efficient ad.,LABEL_2,2,LABEL_2,0.42358,0.809781,0.619563,0.458748
145,We continue to invest in AI powered features that are helping creators supercharge creation and build their businesses.,LABEL_1,1,LABEL_1,0.429958,0.481886,-0.046227,0.474901
146,"With VO3 integration and speech to song, creators go from idea to iteration quicker and new channel insights help them better understand performance performance ending on YouTube with our subscriptions products.",LABEL_0,0,LABEL_0,0.417765,0.137862,-0.724275,0.441447
147,We're also seeing momentum with strong growth in offerings such as YouTube Music and Premium and YouTube TV.,LABEL_1,1,LABEL_1,0.535628,0.516757,0.023514,0.461379
148,"We're also applying Gemini internally to help us serve customers with increased speed, intelligence and efficiency.",LABEL_1,1,LABEL_1,0.397832,0.471284,-0.067431,0.461158
149,Our sales teams use Gemini enriched with ads knowledge to streamline customer interactions.,LABEL_0,0,LABEL_0,0.405746,0.133896,-0.732208,0.459493
150,"This increased productivity by over 10% led to hundreds of millions in incremental revenue and frees up sellers to engage with more customers at a deeper, more strategic level.",LABEL_2,2,LABEL_2,0.458125,0.821181,0.642362,0.494703
151,"In our Customer Support division, Gemini Powered Solutions have managed over 40 million customer sessions so far this year and resolved hundreds of thousands of customer inquiries.",LABEL_1,1,LABEL_1,0.443177,0.486249,-0.037503,0.493573
152,And we're just getting started.,LABEL_1,1,LABEL_1,0.468252,0.494523,-0.020954,0.49419
153,"As always, I'll wrap with the progress we're seeing across partnerships where customers tap into the strength and breadth of Google's products to accelerate their transformation.",LABEL_0,0,LABEL_0,0.518601,0.171138,-0.657724,0.479061
154,"Revolut, the global financial services company, leverages Google Cloud's Vertex AI platform and Gemini models to help power its advanced customer service chatbot, develop new hyper personalized financial products and offer predictive insights.",LABEL_2,2,LABEL_2,0.394544,0.8002,0.600399,0.51241
155,"Revolut is also increasing its presence on YouTube, adopting VO3 for personalized creatives, making Google a key ads partner for delivering growth and launching new markets.",LABEL_1,1,LABEL_1,0.424079,0.479946,-0.050108,0.510299
156,"In closing, I'd like to thank Googlers everywhere for their contributions to our success and as always, to our customers and partners for their continued trust.",LABEL_0,0,LABEL_0,0.527414,0.174046,-0.651907,0.478137
157,"And of course, a huge thanks to all of you as we celebrate 25 years of Google Ads.",LABEL_0,0,LABEL_0,0.481675,0.158953,-0.682095,0.461056
158,Anat over to you.,LABEL_0,0,LABEL_0,0.538188,0.177602,-0.644796,0.445173
159,Thank you Philip.,LABEL_0,0,LABEL_0,0.495495,0.163513,-0.672973,0.427223
160,My comments will focus on year over year comparisons for the third quarter.,LABEL_0,0,LABEL_0,0.57305,0.189107,-0.621787,0.408485
161,"Unless I state otherwise, I will start with results at the Alphabet level and we'll then cover our segment results.",LABEL_0,0,LABEL_0,0.572152,0.18881,-0.62238,0.393408
162,I'll end with some commentary on our outlook for the fourth quarter of 2025.,LABEL_0,0,LABEL_0,0.480208,0.158469,-0.683063,0.393281
163,"We had an outstanding quarter in Q3, continuing the strong momentum we've had throughout the year, delivering double digit revenue growth across search and YouTube advertising, subscriptions platforms and devices and Google Cloud.",LABEL_2,2,LABEL_2,0.490342,0.831813,0.663625,0.392351
164,"Consolidated revenue reached $102.3 billion, a 16% year over year increase or 15% in constant currency.",LABEL_2,2,LABEL_2,0.577284,0.860504,0.721007,0.394887
165,"Total cost of revenue was $41.4 billion, up 13%.",LABEL_2,2,LABEL_2,0.390084,0.798728,0.597455,0.410729
166,"Tech was $14.9 billion, up 8%.",LABEL_2,2,LABEL_2,0.430534,0.812076,0.624153,0.44444
167,"Other cost of revenues was $26.5 billion, up 16%, with the increase primarily driven by content acquisition cost, largely for YouTube, followed by depreciation and other technical infrastructure operations cost.",LABEL_2,2,LABEL_2,0.450427,0.818641,0.637282,0.459534
168,Total operating expenses increased 28% to $29.7 billion.,LABEL_1,1,LABEL_1,0.372696,0.46299,-0.084021,0.459119
169,"R&D expenses increased by 22%, driven by compensation and depreciation expenses related to our AI efforts.",LABEL_2,2,LABEL_2,0.435733,0.813792,0.627584,0.493114
170,"Sales and marketing expenses were flat and G and A expenses increased meaningfully, primarily due to the $3.5 billion charge related to the European Commission fine mentioned in the earnings press release.",LABEL_1,1,LABEL_1,0.467438,0.494254,-0.021491,0.476768
171,Operating income increased 9% this quarter to $31.2 billion and operating margin was 30.5%.,LABEL_2,2,LABEL_2,0.508323,0.837747,0.675493,0.494343
172,"Excluding the EC fine, operating income increased 22% and operating margin was 33.9%.",LABEL_2,2,LABEL_2,0.392816,0.799629,0.599259,0.509598
173,Operating margin benefited from strong revenue growth and continued efficiencies in our expense base offset by the legal charge and a significant increase in depreciation expense.,LABEL_2,2,LABEL_2,0.443579,0.816381,0.632762,0.54186
174,Other income and expenses was $12.8 billion primarily due to unrealized gains in our non marketable equity securities portfolio.,LABEL_2,2,LABEL_2,0.353697,0.78672,0.57344,0.541186
175,Net income increased 33% to $35 billion and earnings per share increased 35% to $2.87.,LABEL_2,2,LABEL_2,0.453936,0.819799,0.639598,0.558179
176,We generate free cash flow of $24.5 billion in the third quarter and $73.6 billion for the trailing 12 months.,LABEL_2,2,LABEL_2,0.438905,0.814839,0.629677,0.590218
177,Free cash flow in Q3 benefited from strong operating cash flow and recent tax changes regarding the timing of when research and development costs are expensed and assets are depreciated.,LABEL_1,1,LABEL_1,0.388427,0.468181,-0.073638,0.60568
178,This was partially offset by higher CapEx.,LABEL_2,2,LABEL_2,0.343887,0.783483,0.566966,0.635974
179,We ended the quarter with $98.5 billion in cash and marketable securities.,LABEL_1,1,LABEL_1,0.436713,0.484115,-0.04177,0.652004
180,"Turning to segment results, Google services revenues increased 14% to $87.1 billion reflecting strength in Google search, YouTube advertising and subscriptions.",LABEL_2,2,LABEL_2,0.34235,0.782976,0.565951,0.681697
181,Google Search and other advertising revenues increased by 15% to $56.6 billion representing another robust quarter with continued growth across all major verticals with the largest contributions from retail and and financial services.,LABEL_1,1,LABEL_1,0.416215,0.477351,-0.055298,0.696124
182,YouTube advertising revenues increased 15% to $10.3 billion driven by direct response advertising followed by brand network advertising.,LABEL_1,1,LABEL_1,0.414709,0.476854,-0.056292,0.712044
183,Revenues of $7.4 billion were down 3%.,LABEL_1,1,LABEL_1,0.357839,0.458087,-0.093826,0.693357
184,Subscriptions Platforms and devices revenues increased 21% this quarter to $12.9 billion driven by very strong growth in both YouTube and and Google WAN subscriptions.,LABEL_2,2,LABEL_2,0.411616,0.805833,0.611667,0.690624
