sentence_index,sentence_text,raw_label,label_id,label_name,score,specificity_0_1,specificity_-1_1,ma_specificity_0_1
19,"These risks and uncertainties include, but are not limited to, the factors identified in our filings with the SEC.",LABEL_1,1,LABEL_1,0.471747,0.495676,-0.018647,0.331491
20,Please review our press release and accompanying slide presentation for a cautionary statement regarding forward-looking statements as well as our entire safe harbor and non-GAAP reconciliations on our website at stock.walmart.com.,LABEL_0,0,LABEL_0,0.351319,0.115935,-0.768129,0.313537
21,"Doug, that concludes my intro.",LABEL_1,1,LABEL_1,0.639028,0.550879,0.091759,0.334367
22,We're ready to begin.,LABEL_0,0,LABEL_0,0.495639,0.163561,-0.672878,0.335169
23,"Doug McMillon

Good morning, and thanks for joining us.",LABEL_1,1,LABEL_1,0.47016,0.495153,-0.019695,0.334822
24,We finished the year with another quarter of strong results.,LABEL_1,1,LABEL_1,0.546173,0.520237,0.030474,0.336439
25,Our associates are doing a great job serving our customers and members.,LABEL_1,1,LABEL_1,0.523109,0.512626,0.015252,0.336346
26,"For the quarter, we had sales growth of 5.2% and adjusted operating income was up 9.4% in constant currency.",LABEL_2,2,LABEL_2,0.706974,0.903301,0.806603,0.356782
27,We continue to gain market share across countries and income levels.,LABEL_1,1,LABEL_1,0.549398,0.521301,0.032603,0.374979
28,"As with the first three quarters of the year, transaction counts and unit volumes were up across markets.",LABEL_1,1,LABEL_1,0.475957,0.497066,-0.015868,0.373006
29,"As we look at our results for the quarter and the year, we're pleased to see, first, a healthy top line.",LABEL_1,1,LABEL_1,0.372124,0.462801,-0.084398,0.388741
30,We're strengthening our ability to serve people how they want to be served in the moment.,LABEL_0,0,LABEL_0,0.491891,0.162324,-0.675352,0.371054
31,That's what's driving our growth.,LABEL_0,0,LABEL_0,0.484265,0.159807,-0.680385,0.353183
32,"Our prices are low, and we're becoming more convenient.",LABEL_1,1,LABEL_1,0.694043,0.569034,0.128069,0.371283
33,"Customers are shopping with us more often and buying more items, including in general merchandise categories, which were up low single digits in Walmart U.S.",LABEL_1,1,LABEL_1,0.531745,0.515476,0.020952,0.389319
34,and Sam's U.S.,LABEL_1,1,LABEL_1,0.428711,0.481475,-0.047051,0.390049
35,for the quarter.,LABEL_1,1,LABEL_1,0.499133,0.504714,-0.000572,0.406376
36,"Second, we're growing profit faster than sales, and we have runway to scale our higher-margin businesses like membership, marketplace and advertising.",LABEL_0,0,LABEL_0,0.51749,0.170772,-0.658456,0.405786
37,"We're mixing ourselves up, while simultaneously investing in lower prices and associate wages.",LABEL_1,1,LABEL_1,0.509732,0.508212,0.006423,0.422151
38,"Third, we're able to improve ROI even as we invest higher levels of capital to take advantage of the opportunities we see to strengthen the company.",LABEL_0,0,LABEL_0,0.503388,0.166118,-0.667764,0.423823
39,All three segments of our business had a good year.,LABEL_1,1,LABEL_1,0.595679,0.536574,0.063148,0.425868
40,I'm proud of our leaders and all of our associates.,LABEL_1,1,LABEL_1,0.472961,0.496077,-0.017846,0.444875
41,They earned it.,LABEL_1,1,LABEL_1,0.603399,0.539122,0.068243,0.444288
42,"They're learning, they're acting fast and they're working hard.",LABEL_1,1,LABEL_1,0.534768,0.516473,0.022947,0.461933
43,"For the quarter and the year, we're pleased with our performance during the holiday seasons around the world.",LABEL_1,1,LABEL_1,0.75574,0.589394,0.168788,0.466645
44,"We performed well in the U.S., Mexico, Canada and in China, where Sam's Club just wrapped up a strong Lunar New Year.",LABEL_1,1,LABEL_1,0.639242,0.55095,0.0919,0.468181
45,We also performed well in India.,LABEL_1,1,LABEL_1,0.613175,0.542348,0.074696,0.469667
46,"And I'd like to share the news that PhonePe, our fintech business, is making preparations for an IPO in India.",LABEL_1,1,LABEL_1,0.480342,0.498513,-0.012975,0.449428
47,"Our PhonePe team has long aspired to be a public company, and we're excited to be taking these early steps.",LABEL_1,1,LABEL_1,0.450437,0.488644,-0.032711,0.447795
48,"As a company, we drove a lot of volume during the holidays and ended with our inventory level in good shape, up 2.8%.",LABEL_1,1,LABEL_1,0.563682,0.526015,0.04203,0.449242
49,"As always, we're working hard to help bring down prices.",LABEL_1,1,LABEL_1,0.719998,0.577599,0.145198,0.454982
50,In Walmart U.S.,LABEL_1,1,LABEL_1,0.439842,0.485148,-0.039704,0.471123
51,"last year, we had over 22,000 rollbacks.",LABEL_1,1,LABEL_1,0.454959,0.490136,-0.029727,0.48764
52,We're wired to help people save money and live better.,LABEL_0,0,LABEL_0,0.490116,0.161738,-0.676523,0.467275
53,"The work we're doing to expand our assortment is another reason for our growth, as more customers are finding what they're looking for.",LABEL_1,1,LABEL_1,0.542428,0.519001,0.028002,0.467451
54,"In addition to low prices and a growing assortment to choose from, we're focused on delivery, speed and accuracy.",LABEL_1,1,LABEL_1,0.616985,0.543605,0.07721,0.470558
55,"If I could change anything about how we're perceived today, it'd be that more people know about our breadth of assortment online and our increasing delivery speed.",LABEL_0,0,LABEL_0,0.697114,0.230047,-0.539905,0.456824
56,"For Walmart U.S., we recently announced same-day pharmacy delivery and the early response has been strong.",LABEL_1,1,LABEL_1,0.49957,0.504858,-0.000284,0.473529
57,"Customers love being able to get a basket of items delivered to their door that includes fresh, frozen, general merchandise and now pharmacy.",LABEL_1,1,LABEL_1,0.479032,0.49808,-0.013839,0.473022
58,"And because we're so close to them, they can get it fast.",LABEL_0,0,LABEL_0,0.550286,0.181594,-0.636811,0.473796
59,"Sam's Club recently launched new shipping offer, including free same or next-day delivery from the club.",LABEL_1,1,LABEL_1,0.501289,0.505425,0.000851,0.472238
60,Members asked for it and the team delivered.,LABEL_0,0,LABEL_0,0.541759,0.17878,-0.642439,0.456374
61,Listening to our members and solving what they want is a big reason why Sam's was recently ranked number one in customer satisfaction for retailers and the latest American Customer Satisfaction Index.,LABEL_1,1,LABEL_1,0.396046,0.470695,-0.06861,0.452952
62,"Around the world, we're making great progress on delivering goods faster to customers and members.",LABEL_1,1,LABEL_1,0.550669,0.521721,0.033442,0.453215
63,We're taking learnings from markets like China and quickly standing up fast delivery solutions in other markets.,LABEL_1,1,LABEL_1,0.519075,0.511295,0.01259,0.44931
64,"We continue to be excited about our investments in supply chain automation, and we'll share even more on that topic during our investor conference in April.",LABEL_1,1,LABEL_1,0.525492,0.513412,0.016824,0.447433
65,"These past few quarters, we've talked about how we're using AI.",LABEL_0,0,LABEL_0,0.531494,0.175393,-0.649214,0.429085
66,The progress we've made over the years with technology has put us in a position to leverage today's fast-moving capabilities closer to real-time.,LABEL_1,1,LABEL_1,0.497813,0.504278,-0.001444,0.429373
67,"I'm very proud of Suresh, our tech team and all our leaders for how they're leaning in to adapt quickly.",LABEL_0,0,LABEL_0,0.454241,0.1499,-0.700201,0.412436
68,"Today, I'd like to share two more examples.",LABEL_0,0,LABEL_0,0.642621,0.212065,-0.57587,0.396739
69,The first is related to a new AI agent for our merchants called [Wally].,LABEL_0,0,LABEL_0,0.588791,0.194301,-0.611398,0.377574
70,Wally is learning to help us get to the root cause of issues related to things like out of stocks or overstocks with more accuracy and speed.,LABEL_1,1,LABEL_1,0.48184,0.499007,-0.011986,0.378267
71,"Second, for developers on our tech team, we now have new coding assistance and completion tools that are helping streamline deployments and deliver code faster with fewer bugs.",LABEL_0,0,LABEL_0,0.430656,0.142116,-0.715767,0.360866
72,"Last year, these tools helped us save about 4 million developer hours.",LABEL_2,2,LABEL_2,0.382096,0.796092,0.592183,0.392583
73,"This year, we plan to make these tools available to all developers in North America and India.",LABEL_1,1,LABEL_1,0.435217,0.483622,-0.042757,0.390814
74,As we become more productive and reduce the amount of time we work on routine tasks that gives us time to develop tools that help us grow the business and move faster.,LABEL_0,0,LABEL_0,0.400976,0.132322,-0.735356,0.37025
75,I love how we're changing how we think and work without changing who we are.,LABEL_0,0,LABEL_0,0.656031,0.21649,-0.56702,0.369572
76,I can see us getting faster.,LABEL_0,0,LABEL_0,0.578115,0.190778,-0.618444,0.353868
77,"Earlier this year, we began opening some of our new home office buildings in Bentonville.",LABEL_1,1,LABEL_1,0.625093,0.546281,0.082562,0.356278
78,We'll be transitioning to the new home office throughout the year.,LABEL_1,1,LABEL_1,0.503976,0.506312,0.002624,0.372514
79,It's an exciting time.,LABEL_1,1,LABEL_1,0.507074,0.507334,0.004669,0.37261
80,It's also a time to remember the special things about this company that we want to strengthen and perpetuate.,LABEL_0,0,LABEL_0,0.596945,0.196992,-0.606016,0.37352
81,Moving to a new location doesn't change who we are.,LABEL_1,1,LABEL_1,0.489275,0.501461,-0.007078,0.375059
82,"Cultural characteristics like leadership, humility and a sense of urgency remain critical.",LABEL_0,0,LABEL_0,0.453247,0.149571,-0.700857,0.356451
83,Operating with an everyday low cost culture and mindset is as important as ever.,LABEL_0,0,LABEL_0,0.489713,0.161605,-0.67679,0.338967
84,We have a meaningful purpose of saving people money and helping them to live better.,LABEL_0,0,LABEL_0,0.494359,0.163138,-0.673723,0.321453
85,And we have a set of timeless values that shape our culture regardless of the address of our home office.,LABEL_1,1,LABEL_1,0.449576,0.48836,-0.03328,0.337101
86,Characteristics and beliefs like these drive our results and make us unique.,LABEL_0,0,LABEL_0,0.513771,0.169544,-0.660911,0.320365
87,I hope you'll come see our home office when you visit during our Associate and Shareholders Week in June and that you'll feel the momentum.,LABEL_0,0,LABEL_0,0.509818,0.16824,-0.66352,0.321282
88,"We know who we are, and we like where we're going.",LABEL_0,0,LABEL_0,0.493,0.16269,-0.67462,0.318813
89,We feel like we're just getting started.,LABEL_1,1,LABEL_1,0.553491,0.522652,0.035304,0.33523
90,Here's John David.,LABEL_1,1,LABEL_1,0.474755,0.496669,-0.016662,0.335114
91,"John David Rainey

Thanks, Doug.",LABEL_1,1,LABEL_1,0.51168,0.508854,0.007709,0.35345
92,"I'm excited to discuss our fourth quarter and full year performance, provide some context on how we're executing against our strategic priorities and offer our outlook for the first quarter and full fiscal year 2026.",LABEL_0,0,LABEL_0,0.539988,0.178196,-0.643608,0.322556
93,Let's start with the headline.,LABEL_0,0,LABEL_0,0.54392,0.179493,-0.641013,0.307349
94,"Walmart delivered another strong quarter, exceeding our sales, profit and earnings expectations.",LABEL_1,1,LABEL_1,0.477589,0.497604,-0.014791,0.325613
95,This performance reflects the strength of our business model and the dedicated work of our associates around the globe.,LABEL_1,1,LABEL_1,0.434397,0.483351,-0.043298,0.338956
96,Our focus remains on delivering value to customers and members while driving sustainable growth for shareholders.,LABEL_0,0,LABEL_0,0.391726,0.129269,-0.741461,0.335881
97,"Customers continue to respond to our value proposition as we provide lower prices, a broader assortment and greater levels of convenience.",LABEL_1,1,LABEL_1,0.513964,0.509608,0.009216,0.334047
98,"With improved customer experience, we're earning their trust and seeing share gains as a result.",LABEL_1,1,LABEL_1,0.539552,0.518052,0.026104,0.334634
99,Looking at the full year.,LABEL_0,0,LABEL_0,0.44112,0.14557,-0.708861,0.316546
100,"Consolidated revenue grew 5.6% in constant currency, adding approximately $36 billion versus last year.",LABEL_2,2,LABEL_2,0.580581,0.861592,0.723183,0.349776
101,"Adjusted operating income increased nearly 10% in constant currency, and adjusted EPS was up 13%.",LABEL_2,2,LABEL_2,0.612015,0.871965,0.74393,0.368301
102,Currency was a headwind to reported sales of approximately $3.2 billion or 50 basis points to growth and pressured EPS by about $0.02.,LABEL_2,2,LABEL_2,0.396505,0.800847,0.601693,0.400865
103,Our business model is delivering as it's designed to do.,LABEL_1,1,LABEL_1,0.523432,0.512733,0.015465,0.418421
104,This is the second consecutive year that we've grown sales more than 5% and operating income meaningfully faster.,LABEL_2,2,LABEL_2,0.545929,0.850157,0.700313,0.452772
105,"Relative to our plan, our performance has been broad-based across segments.",LABEL_1,1,LABEL_1,0.559919,0.524773,0.039546,0.454593
106,"E-commerce economics continue to improve, most notably in Walmart U.S.",LABEL_1,1,LABEL_1,0.551701,0.522061,0.034122,0.472219
107,Our newer digital businesses have contributed to faster growth and more diversification of our product mix.,LABEL_1,1,LABEL_1,0.508495,0.507803,0.005606,0.489197
108,"Over the last year, global advertising grew 27% to about $4.4 billion.",LABEL_2,2,LABEL_2,0.410642,0.805512,0.611024,0.521338
109,Walmart U.S.,LABEL_1,1,LABEL_1,0.433912,0.483191,-0.043618,0.519365
110,Marketplace revenue grew 37% with nearly 45% of orders fulfilled by WFS.,LABEL_1,1,LABEL_1,0.411796,0.475893,-0.058215,0.518326
111,"And lastly, global membership income grew 21% to about $3.8 billion.",LABEL_2,2,LABEL_2,0.54998,0.851493,0.702987,0.535458
112,"Over our planning horizon, the growth of this portfolio is expected to be one of the largest drivers of operating income growing faster than sales.",LABEL_1,1,LABEL_1,0.349945,0.455482,-0.099037,0.549322
113,These new profit streams allow us to fund investments in our core business while also expanding our operating margins.,LABEL_1,1,LABEL_1,0.366436,0.460924,-0.088152,0.563394
114,"Return on investment improved approximately 50 basis points to 15.5%, a level last achieved in 2016.",LABEL_2,2,LABEL_2,0.65795,0.887123,0.774247,0.58287
115,CapEx totaled $23.8 billion.,LABEL_2,2,LABEL_2,0.37576,0.794001,0.588001,0.598402
116,Our investments in stores and clubs through remodels and new construction have improved customer and member experience and have enabled us to broaden our last mile catchment area for digital orders.,LABEL_1,1,LABEL_1,0.51518,0.510009,0.010019,0.617439
117,"Investments in supply chain automation and productivity are expected to lower our cost to serve, which supports our EDLP commitment.",LABEL_1,1,LABEL_1,0.433889,0.483183,-0.043633,0.616118
118,Cash flow remained strong.,LABEL_1,1,LABEL_1,0.623432,0.545732,0.081465,0.617502
119,"And as we announced this morning, we're pleased to raise the dividend by 13% this year, the largest increase in over a decade, reinforcing our commitment to strong cash returns to shareholders.",LABEL_2,2,LABEL_2,0.416448,0.807428,0.614856,0.650595
120,"Our business has transformed over the past five years, and we're benefiting from the investments we've made in our core omni-retail business.",LABEL_1,1,LABEL_1,0.466894,0.494075,-0.02185,0.632219
121,"Global e-commerce penetration is now 18% of sales, about 1,100 basis points higher than it was in FY '20.",LABEL_1,1,LABEL_1,0.429982,0.481894,-0.046212,0.612716
122,In the U.S.,LABEL_1,1,LABEL_1,0.524976,0.513242,0.016484,0.598335
123,"specifically, we've built marketplace capabilities to broaden our assortment while also growing the average number of e-commerce orders fulfilled from stores by over 500 million orders without new store growth during that time period.",LABEL_1,1,LABEL_1,0.337961,0.451527,-0.106946,0.595275
124,"We're utilizing our stores in new ways to serve more customers and maximize returns, but we obviously don't have a stores-only approach for fulfillment.",LABEL_1,1,LABEL_1,0.515115,0.509988,0.009976,0.578267
125,"We're growing our fulfillment center capacity, including through investments in FC automation in parallel.",LABEL_1,1,LABEL_1,0.467081,0.494137,-0.021727,0.576735
126,"While the shift in channel mix creates some cost pressure as we fulfill more orders through e-commerce, we've seen improved profitability during this period with efficiencies gained as we densify our delivery routes and with the contributions from newer businesses that are enabled by e-commerce growth.",LABEL_1,1,LABEL_1,0.6466,0.553378,0.096756,0.578301
127,"We've achieved this despite the margin pressure from merchandise category mix of sales shifting towards grocery and health and wellness and away from general merchandise, as consumer wallets have been stretched over the past couple of years.",LABEL_1,1,LABEL_1,0.440069,0.485223,-0.039554,0.577172
128,The way we've designed and grown our evolving business model with more diversified and durable sources of profit like advertising and membership has enabled us to grow operating income faster than sales despite these headwinds.,LABEL_1,1,LABEL_1,0.349526,0.455344,-0.099313,0.559663
129,Turning to our quarterly performance.,LABEL_0,0,LABEL_0,0.488603,0.161239,-0.677522,0.543566
130,"For the fourth quarter, consolidated revenue increased more than 5% in constant currency, driven by strong results across segments, aided by 16% e-commerce growth.",LABEL_2,2,LABEL_2,0.58468,0.862945,0.725889,0.562918
131,Currency headwinds reduced reported sales by over $2 billion or 120 basis points of growth.,LABEL_2,2,LABEL_2,0.396337,0.800791,0.601582,0.560383
132,Walmart U.S.,LABEL_1,1,LABEL_1,0.433912,0.483191,-0.043618,0.561769
133,comp sales increased 4.6% including e-commerce sales growth of 20% with ongoing share gains across categories.,LABEL_2,2,LABEL_2,0.47317,0.826146,0.652292,0.58003
134,Comp growth was led by increased customer transactions in both stores and e-commerce.,LABEL_2,2,LABEL_2,0.416048,0.807296,0.614592,0.576038
135,"Grocery remains a standout category with mid-single-digit growth, and we saw mid-teens growth in health and wellness due largely to GLP-1 sales, which contributed about a point to the segment comp, consistent with prior quarters.",LABEL_1,1,LABEL_1,0.47124,0.495509,-0.018982,0.561114
136,"We're encouraged by the improvement in general merchandise, where we had low single-digit comp sales growth for the second consecutive quarter, including strength in hardlines, toys, home and fashion.",LABEL_1,1,LABEL_1,0.618951,0.544254,0.078508,0.562826
137,U.S.,LABEL_1,1,LABEL_1,0.460732,0.492041,-0.025917,0.563269
138,"customers remain resilient, exhibiting behaviors that have been largely consistent over the past year.",LABEL_1,1,LABEL_1,0.520616,0.511803,0.013607,0.561573
139,"As always, people are looking for value and they want to save time.",LABEL_0,0,LABEL_0,0.545822,0.180121,-0.639757,0.530207
140,Becoming more convenient is helping to drive our growth.,LABEL_1,1,LABEL_1,0.407958,0.474626,-0.060748,0.529235
141,"During the quarter, we expanded our store fulfilled delivery catchment areas to now reach 93% of U.S.",LABEL_1,1,LABEL_1,0.380098,0.465432,-0.079135,0.528412
142,households with same-day delivery.,LABEL_0,0,LABEL_0,0.374514,0.12359,-0.75282,0.508929
143,The popularity of expedited delivery has resulted in more than 30% of orders coming from customers and members that elected to pay a convenience fee to receive their scheduled delivery in less than one hour or less than three hours.,LABEL_1,1,LABEL_1,0.503145,0.506038,0.002075,0.511655
144,We're also encouraged by the initial response to our launch of same-day pharmacy delivery.,LABEL_1,1,LABEL_1,0.598949,0.537653,0.065306,0.513038
145,"We're the first to integrate pharmacy, general merchandise and grocery in a single online order and have gained new pharmacy customers with this service.",LABEL_0,0,LABEL_0,0.396655,0.130896,-0.738208,0.494876
146,"Our focus on bringing down pricing through rollbacks continues despite pockets of food inflation in areas like eggs, bacon and ground beef.",LABEL_1,1,LABEL_1,0.664204,0.559187,0.108375,0.495166
147,"Like-for-like pricing in general merchandise and consumables was deflationary, while food remained inflationary in the low single digits.",LABEL_1,1,LABEL_1,0.585749,0.533297,0.056594,0.49757
148,We're seeing higher engagement across income cohorts with upper income households continuing to account for the majority of share gains.,LABEL_1,1,LABEL_1,0.495193,0.503414,-0.003172,0.499974
149,"Our international business in constant currency delivered sales growth of 5.7% reflecting strength in China, Walmex and Canada, while operating income grew faster.",LABEL_2,2,LABEL_2,0.566291,0.856876,0.713752,0.534755
150,"We saw positive traffic and unit growth across markets, with sales strength in general merchandise during festive events.",LABEL_1,1,LABEL_1,0.530213,0.51497,0.019941,0.517357
151,"As expected, the timing of Flipkart's Big Billion days event negatively affected year-over-year sales comparisons.",LABEL_0,0,LABEL_0,0.416122,0.13732,-0.72536,0.484183
152,"Outside of India, e-commerce sales grew more than 20% across all markets.",LABEL_2,2,LABEL_2,0.422953,0.809575,0.619149,0.500502
153,Speed of delivery continues to be important to customers.,LABEL_1,1,LABEL_1,0.540496,0.518364,0.026727,0.485113
154,"In the past 12 months, International delivered over 2.3 billion items same day or next day, which is an increase of over 30% with about 45% of those items delivered in under three hours.",LABEL_2,2,LABEL_2,0.406648,0.804194,0.608387,0.484958
155,And our business in China continued to grow double digits with strength in Sam's Club and e-commerce.,LABEL_1,1,LABEL_1,0.501557,0.505514,0.001028,0.485458
156,Sam's Club U.S.,LABEL_1,1,LABEL_1,0.432589,0.482755,-0.044491,0.482383
157,"comp sales ex-fuel increased 6.8%, with strong growth in transaction and unit volumes, including increased penetration of members mark.",LABEL_2,2,LABEL_2,0.401563,0.802516,0.605031,0.497907
158,"E-commerce grew 24%, including triple-digit growth in club fulfilled delivery, as new perks like express delivery and the elimination of curbside pickup fees for the club membership level continue to resonate with members.",LABEL_1,1,LABEL_1,0.410638,0.47551,-0.058979,0.496092
159,"With tech-enabled convenience prevalent both inside the club through Scan & Go and Jusco Exit towers as well as via e-commerce, we are deploying digital solutions to differentiate ourselves in the warehouse club channel.",LABEL_1,1,LABEL_1,0.473813,0.496358,-0.017284,0.511904
160,"From a margin standpoint, consolidated gross margin expanded 53 basis points.",LABEL_2,2,LABEL_2,0.50467,0.836541,0.673082,0.53
161,"In our press release and earnings presentation, you'll see new disclosure regarding gross margins by segment.",LABEL_0,0,LABEL_0,0.433415,0.143027,-0.713946,0.51388
162,In Walmart U.S.,LABEL_1,1,LABEL_1,0.439842,0.485148,-0.039704,0.531958
163,improved gross margins reflected strong inventory management as well as lower levels of markdowns and improvement in business mix that has allowed us to manage pricing aligned to competitive price gaps and offset sustained merchandise category mix pressure.,LABEL_1,1,LABEL_1,0.496572,0.503869,-0.002263,0.531849
164,Gross margins in International benefited from the timing shift of Flipkart's Big Billion Day event.,LABEL_1,1,LABEL_1,0.415958,0.477266,-0.055468,0.52883
165,"As our business model evolves, it's encouraging to see our profitability improve from a diverse set of offerings.",LABEL_0,0,LABEL_0,0.404104,0.133354,-0.733291,0.528953
166,"Globally, e-commerce economics continued to improve in Q4, aided by an approximately 20% reduction in U.S.",LABEL_1,1,LABEL_1,0.464224,0.493194,-0.023612,0.525653
167,net delivery cost per order.,LABEL_2,2,LABEL_2,0.473262,0.826176,0.652353,0.540297
168,"We also continued to diversify our profit composition through business mix, as we skilled advertising, membership, marketplace and fulfillment and data analytics and insights.",LABEL_1,1,LABEL_1,0.358604,0.458339,-0.093321,0.538043
169,"Our global advertising business increased 29%, led by 24% growth from Walmart Connect in the U.S.",LABEL_2,2,LABEL_2,0.402378,0.802785,0.605569,0.535339
170,We're making good progress on expanding the number of U.S.,LABEL_1,1,LABEL_1,0.470949,0.495413,-0.019174,0.534361
171,marketplace sellers that also utilize Walmart Connect advertising with seller advertising counts up about 50% versus last year.,LABEL_1,1,LABEL_1,0.38192,0.466034,-0.077932,0.550797
172,We're also excited about the addition of VIZIO and its SmartCast operating system to our portfolio of advertising capabilities.,LABEL_1,1,LABEL_1,0.501145,0.505378,0.000756,0.535587
173,"VIZIO will help us serve customers in new ways to enhance their shopping journeys while also creating new opportunities for advertisers to connect with customers and boost product discovery, empowering brands to realize greater impact from their advertising spend with Walmart.",LABEL_0,0,LABEL_0,0.418259,0.138026,-0.723949,0.51657
174,Membership income was up 16% across the enterprise.,LABEL_2,2,LABEL_2,0.404871,0.803608,0.607215,0.51654
175,"In the U.S., Sam's Club continued to grow membership count and increase its penetration of Plus members, resulting in more than 12% membership income growth, while Walmart Plus membership income grew double digits.",LABEL_2,2,LABEL_2,0.43433,0.813329,0.626658,0.531931
176,"Within International, membership income from Sam's Club China grew more than 35% as member counts continue to increase, helped by the opening of four new clubs in Q4.",LABEL_1,1,LABEL_1,0.421174,0.478987,-0.052025,0.531743
177,"For Marketplace and Walmart fulfillment services, in the U.S.",LABEL_1,1,LABEL_1,0.454601,0.490018,-0.029963,0.516118
178,"marketplace grew 34%, continuing the strong trends we've seen all year.",LABEL_2,2,LABEL_2,0.64613,0.883223,0.766446,0.536504
179,"With the broader assortment of the general merchandise brands and items customers want, marketplace sales and home management, automotive and seasonal all grew more than 20%.",LABEL_2,2,LABEL_2,0.423251,0.809673,0.619346,0.552169
180,"And with our low-cost fulfillment offering for sellers, WFS penetration reached record highs of nearly 50%, which is up nearly 600 basis points versus last year.",LABEL_2,2,LABEL_2,0.47157,0.825618,0.651236,0.551623
181,"Outside the U.S., we're seeing similar encouraging trends in both Mexico and Canada, the number of WFS sellers increased over 20% and sales of items delivered through WFS grew over 85%.",LABEL_2,2,LABEL_2,0.583843,0.862668,0.725337,0.587605
182,"Within data analytics and insights, Walmart Data Ventures continues to grow rapidly with net sales up double digits.",LABEL_2,2,LABEL_2,0.381174,0.795788,0.591575,0.603137
183,"Our client base nearly doubled over the past year, and we're excited about continuing to broaden our reach to new markets with the launch of the platform in Canada.",LABEL_1,1,LABEL_1,0.471703,0.495662,-0.018676,0.602727
184,SG&A expenses deleveraged 46 basis points in the quarter.,LABEL_1,1,LABEL_1,0.443121,0.48623,-0.03754,0.603175
185,Walmart U.S.,LABEL_1,1,LABEL_1,0.433912,0.483191,-0.043618,0.620667
186,"deleverage was primarily driven by the timing of tech investments, increased variable pay as we exceeded planned performance and higher marketing and utilities cost.",LABEL_1,1,LABEL_1,0.44542,0.486988,-0.036023,0.620357
187,Transaction-related expenses for the VIZIO acquisition also impacted the quarter and were not considered in our guidance.,LABEL_1,1,LABEL_1,0.503369,0.506112,0.002224,0.604353
188,"In addition, International was impacted by the timing shift of Flipkart's BBD event.",LABEL_1,1,LABEL_1,0.483063,0.499411,-0.011179,0.606407
189,And Sam's Club U.S.,LABEL_1,1,LABEL_1,0.41441,0.476755,-0.056489,0.590106
190,was affected by the previously announced wage investments.,LABEL_1,1,LABEL_1,0.507782,0.507568,0.005136,0.590713
