sentence_index,sentence_text,raw_label,label_id,label_name,score,relevance_0_1,relevance_-1_1,ma_relevance_0_1
38,"Third, we're able to improve ROI even as we invest higher levels of capital to take advantage of the opportunities we see to strengthen the company.",LABEL_2,2,LABEL_2,0.844692,0.948748,0.897497,0.846622
39,All three segments of our business had a good year.,LABEL_2,2,LABEL_2,0.605942,0.869961,0.739922,0.842442
40,I'm proud of our leaders and all of our associates.,LABEL_2,2,LABEL_2,0.52847,0.844395,0.68879,0.843046
41,They earned it.,LABEL_1,1,LABEL_1,0.42699,0.480907,-0.048187,0.842955
42,"They're learning, they're acting fast and they're working hard.",LABEL_2,2,LABEL_2,0.510133,0.838344,0.676688,0.859889
43,"For the quarter and the year, we're pleased with our performance during the holiday seasons around the world.",LABEL_2,2,LABEL_2,0.805587,0.935844,0.871687,0.860947
44,"We performed well in the U.S., Mexico, Canada and in China, where Sam's Club just wrapped up a strong Lunar New Year.",LABEL_2,2,LABEL_2,0.66527,0.889539,0.779078,0.8626
45,We also performed well in India.,LABEL_1,1,LABEL_1,0.431576,0.48242,-0.04516,0.841416
46,"And I'd like to share the news that PhonePe, our fintech business, is making preparations for an IPO in India.",LABEL_1,1,LABEL_1,0.458248,0.491222,-0.027556,0.816609
47,"Our PhonePe team has long aspired to be a public company, and we're excited to be taking these early steps.",LABEL_2,2,LABEL_2,0.561891,0.855424,0.710848,0.813246
48,"As a company, we drove a lot of volume during the holidays and ended with our inventory level in good shape, up 2.8%.",LABEL_2,2,LABEL_2,0.962453,0.98761,0.975219,0.817624
49,"As always, we're working hard to help bring down prices.",LABEL_2,2,LABEL_2,0.797046,0.933025,0.86605,0.818586
50,In Walmart U.S.,LABEL_2,2,LABEL_2,0.870468,0.957254,0.914509,0.820734
51,"last year, we had over 22,000 rollbacks.",LABEL_2,2,LABEL_2,0.957611,0.986012,0.972023,0.845116
52,We're wired to help people save money and live better.,LABEL_2,2,LABEL_2,0.613262,0.872377,0.744753,0.846189
53,"The work we're doing to expand our assortment is another reason for our growth, as more customers are finding what they're looking for.",LABEL_2,2,LABEL_2,0.739824,0.914142,0.828284,0.842728
54,"In addition to low prices and a growing assortment to choose from, we're focused on delivery, speed and accuracy.",LABEL_2,2,LABEL_2,0.592487,0.865521,0.731041,0.842852
55,"If I could change anything about how we're perceived today, it'd be that more people know about our breadth of assortment online and our increasing delivery speed.",LABEL_2,2,LABEL_2,0.620875,0.874889,0.749777,0.841699
56,"For Walmart U.S., we recently announced same-day pharmacy delivery and the early response has been strong.",LABEL_2,2,LABEL_2,0.958962,0.986457,0.972915,0.842524
57,"Customers love being able to get a basket of items delivered to their door that includes fresh, frozen, general merchandise and now pharmacy.",LABEL_2,2,LABEL_2,0.867233,0.956187,0.912373,0.848514
58,"And because we're so close to them, they can get it fast.",LABEL_1,1,LABEL_1,0.523769,0.512844,0.015688,0.826719
59,"Sam's Club recently launched new shipping offer, including free same or next-day delivery from the club.",LABEL_2,2,LABEL_2,0.809172,0.937027,0.874054,0.830072
60,Members asked for it and the team delivered.,LABEL_1,1,LABEL_1,0.418612,0.478142,-0.053716,0.811759
61,Listening to our members and solving what they want is a big reason why Sam's was recently ranked number one in customer satisfaction for retailers and the latest American Customer Satisfaction Index.,LABEL_2,2,LABEL_2,0.743696,0.91542,0.830839,0.833485
62,"Around the world, we're making great progress on delivering goods faster to customers and members.",LABEL_2,2,LABEL_2,0.580852,0.861681,0.723362,0.834652
63,We're taking learnings from markets like China and quickly standing up fast delivery solutions in other markets.,LABEL_2,2,LABEL_2,0.848607,0.95004,0.900081,0.835362
64,"We continue to be excited about our investments in supply chain automation, and we'll share even more on that topic during our investor conference in April.",LABEL_2,2,LABEL_2,0.771001,0.92443,0.848861,0.837106
65,"These past few quarters, we've talked about how we're using AI.",LABEL_1,1,LABEL_1,0.587434,0.533853,0.057706,0.839678
66,The progress we've made over the years with technology has put us in a position to leverage today's fast-moving capabilities closer to real-time.,LABEL_2,2,LABEL_2,0.906634,0.969189,0.938378,0.863576
67,"I'm very proud of Suresh, our tech team and all our leaders for how they're leaning in to adapt quickly.",LABEL_2,2,LABEL_2,0.766662,0.922999,0.845997,0.866955
68,"Today, I'd like to share two more examples.",LABEL_1,1,LABEL_1,0.502252,0.505743,0.001487,0.842862
69,The first is related to a new AI agent for our merchants called [Wally].,LABEL_2,2,LABEL_2,0.592883,0.865651,0.731303,0.839493
70,Wally is learning to help us get to the root cause of issues related to things like out of stocks or overstocks with more accuracy and speed.,LABEL_2,2,LABEL_2,0.950469,0.983655,0.96731,0.840813
71,"Second, for developers on our tech team, we now have new coding assistance and completion tools that are helping streamline deployments and deliver code faster with fewer bugs.",LABEL_2,2,LABEL_2,0.967949,0.989423,0.978846,0.840983
72,"Last year, these tools helped us save about 4 million developer hours.",LABEL_2,2,LABEL_2,0.841308,0.947632,0.895263,0.844746
73,"This year, we plan to make these tools available to all developers in North America and India.",LABEL_2,2,LABEL_2,0.879503,0.960236,0.920472,0.847051
74,As we become more productive and reduce the amount of time we work on routine tasks that gives us time to develop tools that help us grow the business and move faster.,LABEL_2,2,LABEL_2,0.847116,0.949548,0.899096,0.851252
75,I love how we're changing how we think and work without changing who we are.,LABEL_1,1,LABEL_1,0.483489,0.499551,-0.010897,0.832485
76,I can see us getting faster.,LABEL_1,1,LABEL_1,0.510939,0.50861,0.007219,0.808593
77,"Earlier this year, we began opening some of our new home office buildings in Bentonville.",LABEL_2,2,LABEL_2,0.897568,0.966197,0.932395,0.809094
78,We'll be transitioning to the new home office throughout the year.,LABEL_2,2,LABEL_2,0.664959,0.889436,0.778873,0.827923
79,It's an exciting time.,LABEL_1,1,LABEL_1,0.517732,0.510852,0.011703,0.806614
80,It's also a time to remember the special things about this company that we want to strengthen and perpetuate.,LABEL_2,2,LABEL_2,0.673379,0.892215,0.78443,0.827318
81,Moving to a new location doesn't change who we are.,LABEL_1,1,LABEL_1,0.548904,0.521138,0.032277,0.807604
82,"Cultural characteristics like leadership, humility and a sense of urgency remain critical.",LABEL_1,1,LABEL_1,0.484905,0.500019,-0.009963,0.789521
83,Operating with an everyday low cost culture and mindset is as important as ever.,LABEL_2,2,LABEL_2,0.607362,0.870429,0.740859,0.78554
84,We have a meaningful purpose of saving people money and helping them to live better.,LABEL_2,2,LABEL_2,0.854876,0.952109,0.904218,0.786924
85,And we have a set of timeless values that shape our culture regardless of the address of our home office.,LABEL_2,2,LABEL_2,0.75854,0.920318,0.840637,0.806248
86,Characteristics and beliefs like these drive our results and make us unique.,LABEL_2,2,LABEL_2,0.571106,0.858465,0.71693,0.800711
87,I hope you'll come see our home office when you visit during our Associate and Shareholders Week in June and that you'll feel the momentum.,LABEL_2,2,LABEL_2,0.659999,0.8878,0.775599,0.798951
88,"We know who we are, and we like where we're going.",LABEL_1,1,LABEL_1,0.562966,0.525779,0.041557,0.799953
89,We feel like we're just getting started.,LABEL_1,1,LABEL_1,0.569552,0.527952,0.045904,0.783068
90,Here's John David.,LABEL_2,2,LABEL_2,0.589402,0.864503,0.729005,0.777111
91,"John David Rainey

Thanks, Doug.",LABEL_2,2,LABEL_2,0.889311,0.963473,0.926945,0.775813
92,"I'm excited to discuss our fourth quarter and full year performance, provide some context on how we're executing against our strategic priorities and offer our outlook for the first quarter and full fiscal year 2026.",LABEL_2,2,LABEL_2,0.52742,0.844049,0.688097,0.770634
93,Let's start with the headline.,LABEL_1,1,LABEL_1,0.546371,0.520303,0.030605,0.748637
94,"Walmart delivered another strong quarter, exceeding our sales, profit and earnings expectations.",LABEL_2,2,LABEL_2,0.905146,0.968698,0.937397,0.749595
95,This performance reflects the strength of our business model and the dedicated work of our associates around the globe.,LABEL_1,1,LABEL_1,0.485851,0.500331,-0.009338,0.749634
96,Our focus remains on delivering value to customers and members while driving sustainable growth for shareholders.,LABEL_2,2,LABEL_2,0.803497,0.935154,0.870308,0.770961
97,"Customers continue to respond to our value proposition as we provide lower prices, a broader assortment and greater levels of convenience.",LABEL_2,2,LABEL_2,0.89039,0.963829,0.927657,0.770843
98,"With improved customer experience, we're earning their trust and seeing share gains as a result.",LABEL_2,2,LABEL_2,0.67855,0.893922,0.787843,0.771067
99,Looking at the full year.,LABEL_2,2,LABEL_2,0.467852,0.824391,0.648782,0.786744
100,"Consolidated revenue grew 5.6% in constant currency, adding approximately $36 billion versus last year.",LABEL_2,2,LABEL_2,0.865491,0.955612,0.911224,0.789914
101,"Adjusted operating income increased nearly 10% in constant currency, and adjusted EPS was up 13%.",LABEL_2,2,LABEL_2,0.904973,0.968641,0.937282,0.812289
102,Currency was a headwind to reported sales of approximately $3.2 billion or 50 basis points to growth and pressured EPS by about $0.02.,LABEL_2,2,LABEL_2,0.802801,0.934924,0.869848,0.834034
103,Our business model is delivering as it's designed to do.,LABEL_2,2,LABEL_2,0.524327,0.843028,0.686056,0.832664
104,This is the second consecutive year that we've grown sales more than 5% and operating income meaningfully faster.,LABEL_2,2,LABEL_2,0.879732,0.960312,0.920623,0.833074
105,"Relative to our plan, our performance has been broad-based across segments.",LABEL_1,1,LABEL_1,0.602225,0.538734,0.067468,0.813995
106,"E-commerce economics continue to improve, most notably in Walmart U.S.",LABEL_2,2,LABEL_2,0.825702,0.942482,0.884963,0.818196
107,Our newer digital businesses have contributed to faster growth and more diversification of our product mix.,LABEL_2,2,LABEL_2,0.911118,0.970669,0.941338,0.822339
108,"Over the last year, global advertising grew 27% to about $4.4 billion.",LABEL_2,2,LABEL_2,0.580695,0.861629,0.723258,0.839132
109,Walmart U.S.,LABEL_2,2,LABEL_2,0.917168,0.972665,0.945331,0.861367
110,Marketplace revenue grew 37% with nearly 45% of orders fulfilled by WFS.,LABEL_2,2,LABEL_2,0.620749,0.874847,0.749694,0.861885
111,"And lastly, global membership income grew 21% to about $3.8 billion.",LABEL_2,2,LABEL_2,0.789269,0.930459,0.860917,0.860234
112,"Over our planning horizon, the growth of this portfolio is expected to be one of the largest drivers of operating income growing faster than sales.",LABEL_2,2,LABEL_2,0.928152,0.97629,0.95258,0.866846
113,These new profit streams allow us to fund investments in our core business while also expanding our operating margins.,LABEL_2,2,LABEL_2,0.682021,0.895067,0.790134,0.885584
114,"Return on investment improved approximately 50 basis points to 15.5%, a level last achieved in 2016.",LABEL_2,2,LABEL_2,0.821128,0.940972,0.881944,0.884198
115,CapEx totaled $23.8 billion.,LABEL_2,2,LABEL_2,0.85299,0.951487,0.902973,0.906756
116,Our investments in stores and clubs through remodels and new construction have improved customer and member experience and have enabled us to broaden our last mile catchment area for digital orders.,LABEL_2,2,LABEL_2,0.909617,0.970174,0.940347,0.908507
117,"Investments in supply chain automation and productivity are expected to lower our cost to serve, which supports our EDLP commitment.",LABEL_2,2,LABEL_2,0.540731,0.848441,0.696882,0.902737
118,Cash flow remained strong.,LABEL_2,2,LABEL_2,0.513713,0.839525,0.679051,0.900017
119,"And as we announced this morning, we're pleased to raise the dividend by 13% this year, the largest increase in over a decade, reinforcing our commitment to strong cash returns to shareholders.",LABEL_2,2,LABEL_2,0.965699,0.988681,0.977361,0.908232
120,"Our business has transformed over the past five years, and we're benefiting from the investments we've made in our core omni-retail business.",LABEL_2,2,LABEL_2,0.846737,0.949423,0.898846,0.907922
121,"Global e-commerce penetration is now 18% of sales, about 1,100 basis points higher than it was in FY '20.",LABEL_2,2,LABEL_2,0.823076,0.941615,0.88323,0.906571
122,In the U.S.,LABEL_2,2,LABEL_2,0.437594,0.814406,0.628812,0.900545
123,"specifically, we've built marketplace capabilities to broaden our assortment while also growing the average number of e-commerce orders fulfilled from stores by over 500 million orders without new store growth during that time period.",LABEL_2,2,LABEL_2,0.94052,0.980372,0.960743,0.907412
124,"We're utilizing our stores in new ways to serve more customers and maximize returns, but we obviously don't have a stores-only approach for fulfillment.",LABEL_2,2,LABEL_2,0.557193,0.853874,0.707747,0.902091
125,"We're growing our fulfillment center capacity, including through investments in FC automation in parallel.",LABEL_2,2,LABEL_2,0.841337,0.947641,0.895282,0.922536
126,"While the shift in channel mix creates some cost pressure as we fulfill more orders through e-commerce, we've seen improved profitability during this period with efficiencies gained as we densify our delivery routes and with the contributions from newer businesses that are enabled by e-commerce growth.",LABEL_2,2,LABEL_2,0.953227,0.984565,0.96913,0.92464
127,"We've achieved this despite the margin pressure from merchandise category mix of sales shifting towards grocery and health and wellness and away from general merchandise, as consumer wallets have been stretched over the past couple of years.",LABEL_2,2,LABEL_2,0.823289,0.941685,0.883371,0.923191
128,The way we've designed and grown our evolving business model with more diversified and durable sources of profit like advertising and membership has enabled us to grow operating income faster than sales despite these headwinds.,LABEL_2,2,LABEL_2,0.775938,0.92606,0.852119,0.926412
129,Turning to our quarterly performance.,LABEL_1,1,LABEL_1,0.520832,0.511875,0.013749,0.903373
130,"For the fourth quarter, consolidated revenue increased more than 5% in constant currency, driven by strong results across segments, aided by 16% e-commerce growth.",LABEL_2,2,LABEL_2,0.724915,0.909222,0.818444,0.905092
131,Currency headwinds reduced reported sales by over $2 billion or 120 basis points of growth.,LABEL_2,2,LABEL_2,0.811603,0.937829,0.875658,0.90546
132,Walmart U.S.,LABEL_2,2,LABEL_2,0.917168,0.972665,0.945331,0.905279
133,comp sales increased 4.6% including e-commerce sales growth of 20% with ongoing share gains across categories.,LABEL_2,2,LABEL_2,0.624403,0.876053,0.752106,0.904328
134,Comp growth was led by increased customer transactions in both stores and e-commerce.,LABEL_2,2,LABEL_2,0.431381,0.812356,0.624711,0.897897
135,"Grocery remains a standout category with mid-single-digit growth, and we saw mid-teens growth in health and wellness due largely to GLP-1 sales, which contributed about a point to the segment comp, consistent with prior quarters.",LABEL_2,2,LABEL_2,0.802256,0.934745,0.869489,0.89706
136,"We're encouraged by the improvement in general merchandise, where we had low single-digit comp sales growth for the second consecutive quarter, including strength in hardlines, toys, home and fashion.",LABEL_2,2,LABEL_2,0.598851,0.867621,0.735241,0.891933
137,U.S.,LABEL_2,2,LABEL_2,0.660009,0.887803,0.775606,0.893901
138,"customers remain resilient, exhibiting behaviors that have been largely consistent over the past year.",LABEL_1,1,LABEL_1,0.450601,0.488698,-0.032604,0.876359
139,"As always, people are looking for value and they want to save time.",LABEL_2,2,LABEL_2,0.539927,0.848176,0.696352,0.869334
140,Becoming more convenient is helping to drive our growth.,LABEL_2,2,LABEL_2,0.515071,0.839973,0.679947,0.863862
141,"During the quarter, we expanded our store fulfilled delivery catchment areas to now reach 93% of U.S.",LABEL_2,2,LABEL_2,0.915071,0.971974,0.943947,0.86538
142,households with same-day delivery.,LABEL_2,2,LABEL_2,0.855214,0.95222,0.904441,0.87227
143,The popularity of expedited delivery has resulted in more than 30% of orders coming from customers and members that elected to pay a convenience fee to receive their scheduled delivery in less than one hour or less than three hours.,LABEL_2,2,LABEL_2,0.914642,0.971832,0.943664,0.871843
144,We're also encouraged by the initial response to our launch of same-day pharmacy delivery.,LABEL_2,2,LABEL_2,0.696368,0.899802,0.799603,0.87414
145,"We're the first to integrate pharmacy, general merchandise and grocery in a single online order and have gained new pharmacy customers with this service.",LABEL_2,2,LABEL_2,0.950586,0.983693,0.967387,0.875942
146,"Our focus on bringing down pricing through rollbacks continues despite pockets of food inflation in areas like eggs, bacon and ground beef.",LABEL_2,2,LABEL_2,0.851542,0.951009,0.902018,0.874264
147,"Like-for-like pricing in general merchandise and consumables was deflationary, while food remained inflationary in the low single digits.",LABEL_2,2,LABEL_2,0.780568,0.927587,0.855175,0.87356
148,We're seeing higher engagement across income cohorts with upper income households continuing to account for the majority of share gains.,LABEL_2,2,LABEL_2,0.855807,0.952416,0.904833,0.874877
149,"Our international business in constant currency delivered sales growth of 5.7% reflecting strength in China, Walmex and Canada, while operating income grew faster.",LABEL_2,2,LABEL_2,0.868661,0.956658,0.913316,0.897117
150,"We saw positive traffic and unit growth across markets, with sales strength in general merchandise during festive events.",LABEL_2,2,LABEL_2,0.90699,0.969307,0.938613,0.900121
151,"As expected, the timing of Flipkart's Big Billion days event negatively affected year-over-year sales comparisons.",LABEL_2,2,LABEL_2,0.452788,0.81942,0.63884,0.8942
152,"Outside of India, e-commerce sales grew more than 20% across all markets.",LABEL_2,2,LABEL_2,0.458666,0.82136,0.64272,0.886635
153,Speed of delivery continues to be important to customers.,LABEL_2,2,LABEL_2,0.543248,0.849272,0.698544,0.885296
154,"In the past 12 months, International delivered over 2.3 billion items same day or next day, which is an increase of over 30% with about 45% of those items delivered in under three hours.",LABEL_2,2,LABEL_2,0.811313,0.937733,0.875466,0.891565
155,And our business in China continued to grow double digits with strength in Sam's Club and e-commerce.,LABEL_2,2,LABEL_2,0.879988,0.960396,0.920792,0.892848
156,Sam's Club U.S.,LABEL_2,2,LABEL_2,0.79741,0.933145,0.86629,0.896124
157,"comp sales ex-fuel increased 6.8%, with strong growth in transaction and unit volumes, including increased penetration of members mark.",LABEL_2,2,LABEL_2,0.843628,0.948397,0.896794,0.899153
158,"E-commerce grew 24%, including triple-digit growth in club fulfilled delivery, as new perks like express delivery and the elimination of curbside pickup fees for the club membership level continue to resonate with members.",LABEL_2,2,LABEL_2,0.906954,0.969295,0.93859,0.923183
159,"With tech-enabled convenience prevalent both inside the club through Scan & Go and Jusco Exit towers as well as via e-commerce, we are deploying digital solutions to differentiate ourselves in the warehouse club channel.",LABEL_2,2,LABEL_2,0.717601,0.906808,0.813617,0.926115
160,"From a margin standpoint, consolidated gross margin expanded 53 basis points.",LABEL_2,2,LABEL_2,0.946583,0.982372,0.964745,0.933235
161,"In our press release and earnings presentation, you'll see new disclosure regarding gross margins by segment.",LABEL_1,1,LABEL_1,0.439125,0.484911,-0.040178,0.908882
162,In Walmart U.S.,LABEL_2,2,LABEL_2,0.870468,0.957254,0.914509,0.909133
163,improved gross margins reflected strong inventory management as well as lower levels of markdowns and improvement in business mix that has allowed us to manage pricing aligned to competitive price gaps and offset sustained merchandise category mix pressure.,LABEL_2,2,LABEL_2,0.889409,0.963505,0.92701,0.908717
164,Gross margins in International benefited from the timing shift of Flipkart's Big Billion Day event.,LABEL_2,2,LABEL_2,0.744543,0.915699,0.831398,0.909512
165,"As our business model evolves, it's encouraging to see our profitability improve from a diverse set of offerings.",LABEL_2,2,LABEL_2,0.595789,0.86661,0.733221,0.903658
166,"Globally, e-commerce economics continued to improve in Q4, aided by an approximately 20% reduction in U.S.",LABEL_2,2,LABEL_2,0.925837,0.975526,0.951053,0.904884
167,net delivery cost per order.,LABEL_2,2,LABEL_2,0.875848,0.95903,0.91806,0.906456
168,"We also continued to diversify our profit composition through business mix, as we skilled advertising, membership, marketplace and fulfillment and data analytics and insights.",LABEL_2,2,LABEL_2,0.957856,0.986092,0.972185,0.90814
169,"Our global advertising business increased 29%, led by 24% growth from Walmart Connect in the U.S.",LABEL_2,2,LABEL_2,0.82311,0.941626,0.883253,0.907388
170,We're making good progress on expanding the number of U.S.,LABEL_2,2,LABEL_2,0.761766,0.921383,0.842765,0.904992
171,marketplace sellers that also utilize Walmart Connect advertising with seller advertising counts up about 50% versus last year.,LABEL_2,2,LABEL_2,0.958538,0.986317,0.972635,0.913337
172,We're also excited about the addition of VIZIO and its SmartCast operating system to our portfolio of advertising capabilities.,LABEL_2,2,LABEL_2,0.888029,0.96305,0.926099,0.920421
173,"VIZIO will help us serve customers in new ways to enhance their shopping journeys while also creating new opportunities for advertisers to connect with customers and boost product discovery, empowering brands to realize greater impact from their advertising spend with Walmart.",LABEL_2,2,LABEL_2,0.879251,0.960153,0.920306,0.925965
174,Membership income was up 16% across the enterprise.,LABEL_2,2,LABEL_2,0.46723,0.824186,0.648372,0.920288
175,"In the U.S., Sam's Club continued to grow membership count and increase its penetration of Plus members, resulting in more than 12% membership income growth, while Walmart Plus membership income grew double digits.",LABEL_2,2,LABEL_2,0.882214,0.961131,0.922261,0.920325
176,"Within International, membership income from Sam's Club China grew more than 35% as member counts continue to increase, helped by the opening of four new clubs in Q4.",LABEL_2,2,LABEL_2,0.620511,0.874769,0.749537,0.917406
177,"For Marketplace and Walmart fulfillment services, in the U.S.",LABEL_2,2,LABEL_2,0.850844,0.950779,0.901557,0.917525
178,"marketplace grew 34%, continuing the strong trends we've seen all year.",LABEL_2,2,LABEL_2,0.855841,0.952427,0.904855,0.916681
179,"With the broader assortment of the general merchandise brands and items customers want, marketplace sales and home management, automotive and seasonal all grew more than 20%.",LABEL_2,2,LABEL_2,0.74831,0.916942,0.833884,0.917188
180,"And with our low-cost fulfillment offering for sellers, WFS penetration reached record highs of nearly 50%, which is up nearly 600 basis points versus last year.",LABEL_2,2,LABEL_2,0.960273,0.98689,0.97378,0.917414
181,"Outside the U.S., we're seeing similar encouraging trends in both Mexico and Canada, the number of WFS sellers increased over 20% and sales of items delivered through WFS grew over 85%.",LABEL_2,2,LABEL_2,0.715905,0.906249,0.812497,0.938481
182,"Within data analytics and insights, Walmart Data Ventures continues to grow rapidly with net sales up double digits.",LABEL_2,2,LABEL_2,0.928306,0.976341,0.952682,0.939435
183,"Our client base nearly doubled over the past year, and we're excited about continuing to broaden our reach to new markets with the launch of the platform in Canada.",LABEL_2,2,LABEL_2,0.551793,0.852092,0.704183,0.933865
184,SG&A expenses deleveraged 46 basis points in the quarter.,LABEL_2,2,LABEL_2,0.88641,0.962515,0.925031,0.936205
185,Walmart U.S.,LABEL_2,2,LABEL_2,0.917168,0.972665,0.945331,0.941508
186,"deleverage was primarily driven by the timing of tech investments, increased variable pay as we exceeded planned performance and higher marketing and utilities cost.",LABEL_2,2,LABEL_2,0.528329,0.844348,0.688697,0.934949
187,Transaction-related expenses for the VIZIO acquisition also impacted the quarter and were not considered in our guidance.,LABEL_2,2,LABEL_2,0.859093,0.953501,0.907001,0.934673
188,"In addition, International was impacted by the timing shift of Flipkart's BBD event.",LABEL_2,2,LABEL_2,0.483526,0.829563,0.659127,0.926846
189,And Sam's Club U.S.,LABEL_2,2,LABEL_2,0.821268,0.941018,0.882037,0.926816
190,was affected by the previously announced wage investments.,LABEL_2,2,LABEL_2,0.48487,0.830007,0.660014,0.922247
191,"While wage investments will pressure profit at Sam's for a couple of quarters, we're pleased with the member response tied to increased renewals as well as the improvement in associate turnover.",LABEL_2,2,LABEL_2,0.539558,0.848054,0.696108,0.915334
